#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,8.053,16.836,-1.028,19.936,19.3,17.863,16.943,16.058,15.074,14.646,14.71,20.78,18.649,17.302,16.673,16.294,17.152,18.063,16.244,17.156,18.06,16.246,9109000000
3500,8.053,16.514,-0.811,19.108,18.623,17.325,16.497,15.692,14.825,14.456,14.538,19.951,18.03,16.826,16.279,15.96,16.717,17.525,15.862,16.722,17.522,15.866,8689000000
3750,8.053,16.214,-0.636,18.371,18.022,16.849,16.103,15.371,14.608,14.284,14.361,19.212,17.481,16.407,15.933,15.667,16.328,17.045,15.527,16.334,17.042,15.532,8252000000
4000,8.052,15.933,-0.501,17.726,17.498,16.434,15.757,15.089,14.413,14.121,14.177,18.565,17,16.04,15.629,15.409,15.983,16.623,15.232,15.989,16.619,15.237,7818000000
4250,8.052,15.669,-0.386,17.132,17.016,16.055,15.443,14.836,14.241,13.978,14.021,17.969,16.56,15.707,15.356,15.178,15.665,16.234,14.965,15.672,16.23,14.97,7400000000
4500,8.052,15.42,-0.298,16.619,16.596,15.718,15.16,14.604,14.082,13.846,13.882,17.455,16.172,15.408,15.107,14.966,15.377,15.886,14.721,15.384,15.883,14.727,6967000000
4750,8.051,15.184,-0.228,16.143,16.209,15.412,14.905,14.398,13.941,13.725,13.741,16.977,15.817,15.139,14.885,14.779,15.114,15.568,14.504,15.121,15.564,14.51,6479000000
5000,8.051,14.96,-0.178,15.719,15.864,15.139,14.676,14.212,13.81,13.608,13.603,16.551,15.5,14.897,14.684,14.608,14.875,15.281,14.307,14.882,15.278,14.313,5952000000
5250,8.05,14.746,-0.143,15.339,15.553,14.89,14.464,14.038,13.685,13.497,13.472,16.171,15.212,14.675,14.498,14.447,14.654,15.018,14.124,14.661,15.015,14.13,5206000000
5500,8.049,14.542,-0.119,14.991,15.267,14.66,14.269,13.877,13.569,13.392,13.351,15.822,14.948,14.471,14.327,14.299,14.449,14.776,13.955,14.456,14.773,13.961,4380000000
5750,8.048,14.345,-0.103,14.67,15.004,14.448,14.089,13.728,13.461,13.296,13.243,15.501,14.704,14.282,14.168,14.162,14.258,14.551,13.799,14.265,14.547,13.805,3593000000
6000,8.046,14.157,-0.095,14.373,14.76,14.253,13.921,13.59,13.36,13.206,13.145,15.204,14.478,14.107,14.02,14.034,14.079,14.341,13.653,14.087,14.338,13.659,2847000000
6250,8.045,13.977,-0.093,14.102,14.535,14.07,13.764,13.459,13.263,13.122,13.06,14.932,14.269,13.944,13.881,13.913,13.912,14.146,13.516,13.919,14.143,13.521,2322000000
6500,8.044,13.804,-0.096,13.849,14.325,13.9,13.618,13.338,13.174,13.044,12.985,14.679,14.074,13.791,13.752,13.8,13.754,13.964,13.388,13.762,13.96,13.393,2023000000
6750,8.043,13.637,-0.104,13.614,14.131,13.742,13.481,13.224,13.089,12.971,12.916,14.444,13.893,13.649,13.631,13.694,13.607,13.793,13.268,13.615,13.79,13.273,1822000000
7000,8.042,13.477,-0.116,13.398,13.95,13.594,13.353,13.116,13.007,12.901,12.852,14.227,13.724,13.516,13.517,13.594,13.469,13.634,13.155,13.476,13.63,13.16,1655000000
7500,8.041,13.174,-0.149,13.007,13.622,13.323,13.116,12.917,12.857,12.772,12.736,13.836,13.416,13.271,13.306,13.408,13.213,13.342,12.945,13.221,13.338,12.951,1383000000
8000,8.039,12.89,-0.192,12.662,13.331,13.082,12.905,12.737,12.718,12.652,12.628,13.492,13.143,13.052,13.116,13.239,12.984,13.081,12.757,12.992,13.078,12.762,1172000000
8500,8.038,12.623,-0.254,12.364,13.082,12.877,12.725,12.584,12.598,12.548,12.537,13.194,12.91,12.866,12.955,13.095,12.787,12.858,12.596,12.795,12.854,12.601,1001000000
9000,8.036,12.37,-0.313,12.089,12.85,12.684,12.554,12.438,12.486,12.451,12.452,12.92,12.692,12.69,12.802,12.958,12.601,12.648,12.444,12.609,12.644,12.448,862200000
9500,8.034,12.131,-0.381,11.842,12.643,12.512,12.403,12.31,12.386,12.366,12.376,12.673,12.497,12.535,12.666,12.838,12.435,12.46,12.309,12.443,12.455,12.313,747800000
10000,8.033,11.905,-0.454,11.619,12.457,12.359,12.268,12.195,12.298,12.289,12.308,12.45,12.322,12.396,12.545,12.73,12.286,12.29,12.189,12.293,12.286,12.193,653100000
