#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
2500,9.014,19.625,0.461,22.713,21.123,19.164,18.572,18.843,19.316,19.723,20.482,23.64,20.195,18.625,19.174,19.172,19.079,19.438,18.61,19.09,19.433,18.602,7118000000
2750,9.014,19.211,0.271,22.332,20.834,18.94,18.262,18.211,18.646,19.117,19.694,23.243,19.939,18.386,18.591,18.587,18.717,19.203,18.117,18.729,19.198,18.119,7096000000
3000,9.014,18.834,0.103,21.944,20.552,18.731,17.99,17.684,18.056,18.56,19.011,22.838,19.693,18.178,18.114,18.083,18.39,18.987,17.695,18.402,18.983,17.703,7071000000
3250,9.014,18.486,-0.079,21.575,20.336,18.565,17.759,17.258,17.476,17.994,18.347,22.459,19.513,18.001,17.739,17.646,18.112,18.812,17.343,18.124,18.808,17.352,7041000000
3500,9.014,18.164,-0.145,21.127,19.952,18.309,17.534,16.947,17.023,17.505,17.794,22.004,19.175,17.799,17.452,17.326,17.847,18.562,17.066,17.857,18.558,17.075,7004000000
3750,9.014,17.864,-0.224,20.69,19.631,18.088,17.335,16.707,16.565,16.985,17.226,21.561,18.899,17.611,17.227,17.067,17.624,18.34,16.839,17.633,18.336,16.847,6955000000
4000,9.014,17.584,-0.273,20.226,19.29,17.856,17.142,16.512,16.173,16.48,16.669,21.093,18.606,17.416,17.034,16.861,17.415,18.105,16.645,17.423,18.101,16.651,6885000000
4250,9.014,17.32,-0.292,19.723,18.924,17.612,16.945,16.335,15.864,16.015,16.142,20.586,18.294,17.211,16.852,16.684,17.207,17.854,16.463,17.214,17.85,16.47,6795000000
4500,9.013,17.072,-0.286,19.186,18.541,17.358,16.742,16.163,15.639,15.61,15.68,20.044,17.968,16.997,16.671,16.518,16.992,17.588,16.284,17,17.585,16.29,6676000000
4750,9.013,16.836,-0.259,18.631,18.151,17.096,16.531,15.989,15.469,15.292,15.301,19.482,17.635,16.775,16.486,16.355,16.77,17.311,16.102,16.778,17.308,16.108,6547000000
5000,9.013,16.613,-0.217,18.084,17.764,16.83,16.315,15.811,15.325,15.071,15.024,18.929,17.301,16.548,16.297,16.191,16.542,17.027,15.916,16.549,17.024,15.922,6398000000
5250,9.013,16.401,-0.17,17.575,17.397,16.571,16.103,15.638,15.193,14.917,14.844,18.415,16.98,16.324,16.112,16.031,16.316,16.748,15.734,16.323,16.745,15.74,6222000000
5500,9.013,16.198,-0.128,17.1,17.056,16.326,15.901,15.473,15.071,14.797,14.724,17.935,16.68,16.112,15.935,15.878,16.099,16.483,15.56,16.106,16.48,15.566,5972000000
6000,9.012,15.817,-0.077,16.269,16.465,15.894,15.544,15.179,14.855,14.608,14.552,17.097,16.156,15.739,15.621,15.607,15.711,16.011,15.253,15.718,16.008,15.258,5062000000
6500,9.011,15.468,-0.074,15.586,15.991,15.542,15.251,14.938,14.677,14.459,14.424,16.412,15.732,15.434,15.363,15.383,15.389,15.62,15,15.396,15.616,15.005,4373000000
7000,9.01,15.144,-0.103,15.062,15.611,15.248,15.006,14.736,14.529,14.336,14.321,15.89,15.386,15.18,15.148,15.197,15.118,15.296,14.79,15.125,15.292,14.794,3978000000
7500,9.01,14.844,-0.148,14.656,15.294,14.991,14.79,14.557,14.399,14.232,14.233,15.486,15.092,14.955,14.957,15.032,14.881,15.017,14.603,14.888,15.013,14.607,3657000000
8000,9.009,14.562,-0.197,14.328,15.02,14.759,14.592,14.392,14.281,14.14,14.153,15.158,14.833,14.75,14.781,14.878,14.665,14.77,14.43,14.672,14.766,14.434,3372000000
8500,9.009,14.298,-0.246,14.05,14.776,14.544,14.406,14.236,14.172,14.055,14.079,14.882,14.599,14.559,14.615,14.734,14.466,14.545,14.268,14.473,14.541,14.271,3104000000
9000,9.008,14.048,-0.295,13.808,14.555,14.343,14.232,14.089,14.069,13.976,14.008,14.641,14.384,14.379,14.459,14.599,14.28,14.339,14.115,14.287,14.335,14.118,2858000000
9500,9.008,13.812,-0.341,13.592,14.352,14.153,14.068,13.951,13.973,13.9,13.939,14.426,14.186,14.21,14.311,14.472,14.106,14.147,13.972,14.113,14.143,13.975,2640000000
10000,9.007,13.588,-0.386,13.395,14.164,13.974,13.913,13.82,13.882,13.828,13.872,14.23,14,14.051,14.172,14.352,13.942,13.968,13.837,13.949,13.964,13.839,2444000000
10500,9.007,13.375,-0.431,13.213,13.99,13.807,13.768,13.699,13.798,13.76,13.809,14.048,13.828,13.902,14.042,14.241,13.788,13.801,13.711,13.796,13.796,13.713,2261000000
11000,9.006,13.172,-0.482,13.045,13.831,13.654,13.636,13.59,13.72,13.696,13.75,13.881,13.671,13.767,13.925,14.141,13.649,13.649,13.598,13.657,13.644,13.599,2091000000
11500,9.006,12.978,-0.544,12.895,13.691,13.522,13.523,13.496,13.653,13.64,13.697,13.731,13.533,13.65,13.824,14.056,13.527,13.516,13.5,13.535,13.511,13.501,1936000000
12000,9.005,12.792,-0.618,12.76,13.57,13.409,13.426,13.416,13.594,13.591,13.651,13.597,13.415,13.55,13.739,13.982,13.423,13.401,13.417,13.431,13.395,13.418,1796000000
12500,9.005,12.613,-0.699,12.638,13.462,13.312,13.343,13.347,13.543,13.547,13.61,13.475,13.311,13.464,13.666,13.919,13.332,13.299,13.345,13.34,13.294,13.346,1668000000
13000,9.004,12.441,-0.785,12.528,13.366,13.226,13.269,13.287,13.497,13.507,13.573,13.365,13.218,13.388,13.601,13.863,13.251,13.21,13.281,13.259,13.204,13.282,1549000000
13500,9.004,12.276,-0.876,12.432,13.282,13.153,13.206,13.236,13.457,13.473,13.54,13.27,13.137,13.323,13.547,13.816,13.181,13.132,13.227,13.189,13.126,13.228,1438000000
14000,9.003,12.117,-0.976,12.355,13.214,13.093,13.156,13.195,13.425,13.445,13.514,13.193,13.072,13.271,13.503,13.778,13.125,13.068,13.184,13.133,13.063,13.185,1333000000
14500,9.003,11.963,-1.082,12.291,13.158,13.045,13.115,13.162,13.399,13.422,13.492,13.13,13.018,13.228,13.468,13.747,13.079,13.017,13.149,13.087,13.011,13.149,1235000000
15000,9.002,11.815,-1.183,12.227,13.101,12.997,13.074,13.129,13.372,13.399,13.47,13.066,12.964,13.186,13.433,13.715,13.033,12.965,13.113,13.041,12.96,13.114,1144000000
15500,9.002,11.671,-1.276,12.158,13.041,12.946,13.031,13.093,13.344,13.374,13.446,12.997,12.907,13.141,13.396,13.682,12.983,12.91,13.076,12.991,12.904,13.076,1061000000
16000,9.001,11.532,-1.363,12.085,12.978,12.894,12.985,13.056,13.313,13.348,13.421,12.924,12.847,13.094,13.356,13.647,12.932,12.852,13.036,12.94,12.846,13.036,982600000
16500,9.001,11.397,-1.446,12.009,12.913,12.842,12.939,13.017,13.282,13.321,13.395,12.849,12.787,13.046,13.315,13.61,12.88,12.794,12.995,12.888,12.788,12.995,909400000
17000,9,11.266,-1.526,11.932,12.849,12.792,12.893,12.977,13.25,13.292,13.368,12.772,12.727,12.998,13.274,13.573,12.828,12.735,12.953,12.836,12.73,12.953,840500000
20000,8.997,10.552,-1.961,11.49,12.494,12.513,12.631,12.743,13.052,13.114,13.198,12.331,12.398,12.73,13.032,13.347,12.533,12.409,12.707,12.542,12.403,12.706,509000000
25000,8.991,9.569,-2.541,10.875,11.997,12.11,12.247,12.392,12.749,12.834,12.933,11.716,11.936,12.339,12.673,13.006,12.108,11.943,12.342,12.118,11.936,12.341,249000000
30000,8.986,8.764,-2.966,10.33,11.54,11.73,11.878,12.046,12.44,12.544,12.652,11.172,11.507,11.965,12.322,12.667,11.705,11.508,11.985,11.716,11.501,11.984,145600000
35000,8.988,8.1,-3.358,9.961,11.218,11.459,11.61,11.789,12.198,12.311,12.419,10.803,11.202,11.693,12.062,12.412,11.415,11.199,11.72,11.426,11.192,11.72,109100000
40000,8.983,7.507,-3.762,9.722,11.003,11.27,11.422,11.608,12.024,12.141,12.248,10.565,10.995,11.504,11.88,12.233,11.216,10.991,11.536,11.228,10.984,11.535,68120000
45000,8.978,6.984,-4.146,9.552,10.846,11.13,11.284,11.474,11.893,12.013,12.12,10.394,10.844,11.364,11.745,12.099,11.07,10.839,11.399,11.082,10.831,11.399,41640000
50000,8.973,6.513,-4.501,9.414,10.719,11.014,11.17,11.363,11.785,11.907,12.013,10.257,10.72,11.249,11.633,11.988,10.951,10.715,11.286,10.963,10.707,11.285,23710000
55000,8.968,6.085,-4.829,9.297,10.61,10.914,11.071,11.266,11.69,11.813,11.919,10.14,10.614,11.149,11.536,11.892,10.847,10.608,11.188,10.859,10.6,11.187,11720000
60000,8.962,5.693,-5.131,9.193,10.512,10.823,10.981,11.178,11.604,11.728,11.834,10.036,10.518,11.059,11.448,11.804,10.754,10.511,11.098,10.766,10.504,11.098,4599000
65000,8.955,5.327,-5.41,9.096,10.42,10.737,10.896,11.095,11.522,11.647,11.753,9.939,10.428,10.973,11.364,11.721,10.666,10.421,11.014,10.678,10.413,11.014,1646000
70000,8.949,4.992,-5.67,9.01,10.338,10.661,10.82,11.021,11.449,11.575,11.68,9.853,10.348,10.898,11.29,11.648,10.588,10.341,10.939,10.6,10.333,10.939,937500
75000,8.944,4.68,-5.912,8.932,10.264,10.592,10.751,10.953,11.383,11.509,11.615,9.775,10.275,10.828,11.222,11.58,10.516,10.268,10.871,10.529,10.26,10.871,695000
80000,8.939,4.387,-6.139,8.859,10.194,10.526,10.686,10.889,11.32,11.446,11.552,9.702,10.207,10.763,11.158,11.516,10.449,10.199,10.806,10.462,10.191,10.806,571800
