#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
2500,8.193,18.159,0.329,21.53,19.861,17.83,17.15,17.253,17.716,18.143,18.862,22.454,18.902,17.238,17.61,17.587,17.645,18.088,17.083,17.657,18.084,17.081,12650000000
2750,8.193,17.745,0.136,21.093,19.546,17.609,16.852,16.634,17.049,17.529,18.082,21.998,18.632,17.018,17.048,17.009,17.282,17.86,16.602,17.294,17.856,16.608,12300000000
3000,8.193,17.366,-0.029,20.674,19.24,17.395,16.593,16.147,16.457,16.963,17.394,21.564,18.369,16.82,16.615,16.531,16.964,17.645,16.208,16.976,17.641,16.217,11960000000
3250,8.193,17.018,-0.161,20.241,18.922,17.179,16.366,15.776,15.909,16.407,16.745,21.121,18.097,16.634,16.285,16.147,16.689,17.43,15.892,16.7,17.426,15.901,11610000000
3500,8.193,16.696,-0.269,19.792,18.604,16.966,16.164,15.503,15.398,15.847,16.118,20.666,17.828,16.45,16.035,15.851,16.454,17.216,15.642,16.464,17.212,15.65,11240000000
3750,8.192,16.396,-0.338,19.319,18.262,16.734,15.967,15.292,14.958,15.301,15.498,20.19,17.536,16.255,15.83,15.625,16.239,16.983,15.435,16.247,16.979,15.441,10780000000
4000,8.192,16.114,-0.375,18.813,17.896,16.49,15.768,15.108,14.606,14.787,14.913,19.68,17.225,16.05,15.642,15.438,16.029,16.734,15.247,16.037,16.73,15.253,10200000000
4250,8.191,15.85,-0.382,18.269,17.509,16.232,15.561,14.93,14.348,14.334,14.379,19.131,16.896,15.833,15.457,15.266,15.813,16.467,15.064,15.821,16.464,15.069,9661000000
4500,8.191,15.6,-0.355,17.689,17.098,15.955,15.339,14.746,14.157,13.974,13.969,18.544,16.545,15.598,15.26,15.093,15.581,16.178,14.871,15.588,16.174,14.876,9087000000
4750,8.19,15.363,-0.305,17.098,16.68,15.668,15.105,14.554,14,13.72,13.667,17.946,16.185,15.351,15.055,14.915,15.337,15.874,14.67,15.344,15.87,14.675,8364000000
5000,8.189,15.137,-0.244,16.533,16.275,15.381,14.87,14.361,13.855,13.543,13.459,17.375,15.831,15.103,14.849,14.738,15.09,15.568,14.467,15.096,15.565,14.473,7513000000
5250,8.187,14.92,-0.189,16.007,15.897,15.109,14.645,14.177,13.719,13.41,13.323,16.844,15.498,14.867,14.652,14.568,14.851,15.276,14.274,14.858,15.273,14.28,6388000000
5500,8.184,14.711,-0.146,15.52,15.551,14.856,14.435,14.004,13.591,13.296,13.217,16.352,15.192,14.647,14.468,14.408,14.627,15.002,14.093,14.634,14.999,14.099,4987000000
6000,8.179,14.322,-0.105,14.677,14.968,14.426,14.078,13.71,13.374,13.111,13.055,15.504,14.673,14.274,14.154,14.136,14.239,14.53,13.785,14.246,14.527,13.79,3515000000
6500,8.176,13.967,-0.108,14.042,14.509,14.075,13.785,13.47,13.195,12.962,12.929,14.87,14.257,13.968,13.897,13.914,13.919,14.144,13.533,13.926,14.141,13.538,2680000000
7000,8.174,13.639,-0.134,13.563,14.131,13.773,13.531,13.261,13.042,12.838,12.825,14.393,13.908,13.703,13.673,13.72,13.641,13.817,13.313,13.649,13.813,13.318,2022000000
7500,8.172,13.335,-0.168,13.182,13.808,13.503,13.3,13.069,12.904,12.731,12.733,14.014,13.603,13.464,13.469,13.542,13.392,13.529,13.112,13.399,13.525,13.117,1649000000
8000,8.17,13.05,-0.206,12.866,13.523,13.256,13.087,12.891,12.777,12.635,12.649,13.699,13.33,13.244,13.279,13.378,13.163,13.271,12.926,13.17,13.267,12.93,1393000000
8500,8.168,12.782,-0.244,12.594,13.265,13.026,12.888,12.724,12.659,12.546,12.569,13.428,13.081,13.039,13.102,13.224,12.951,13.034,12.753,12.958,13.03,12.756,1184000000
9000,8.166,12.529,-0.282,12.355,13.029,12.81,12.702,12.568,12.549,12.463,12.494,13.191,12.85,12.846,12.936,13.081,12.752,12.814,12.59,12.759,12.81,12.593,1013000000
9500,8.165,12.289,-0.317,12.139,12.811,12.607,12.526,12.423,12.446,12.384,12.422,12.977,12.636,12.665,12.78,12.948,12.566,12.61,12.438,12.573,12.606,12.441,876100000
10000,8.163,12.062,-0.355,11.942,12.611,12.417,12.364,12.289,12.351,12.311,12.355,12.781,12.437,12.498,12.636,12.826,12.393,12.421,12.299,12.4,12.417,12.301,763900000
10500,8.161,11.845,-0.4,11.763,12.429,12.245,12.218,12.17,12.266,12.245,12.293,12.603,12.257,12.348,12.507,12.718,12.237,12.25,12.175,12.244,12.245,12.176,670100000
11000,8.159,11.638,-0.46,11.605,12.271,12.098,12.094,12.07,12.193,12.188,12.239,12.445,12.103,12.22,12.399,12.627,12.103,12.102,12.07,12.11,12.098,12.071,590500000
11500,8.157,11.441,-0.536,11.464,12.137,11.976,11.992,11.987,12.132,12.138,12.192,12.306,11.972,12.113,12.31,12.551,11.991,11.978,11.982,11.998,11.973,11.983,523000000
12000,8.155,11.252,-0.622,11.342,12.022,11.874,11.905,11.918,12.08,12.095,12.152,12.184,11.86,12.024,12.236,12.488,11.896,11.871,11.91,11.902,11.866,11.91,465700000
12500,8.154,11.07,-0.726,11.248,11.933,11.796,11.841,11.866,12.041,12.061,12.119,12.09,11.775,11.957,12.18,12.441,11.823,11.79,11.855,11.83,11.785,11.856,416800000
13000,8.152,10.896,-0.836,11.167,11.858,11.732,11.788,11.824,12.007,12.032,12.09,12.009,11.702,11.901,12.135,12.401,11.763,11.722,11.81,11.769,11.717,11.81,374300000
13500,8.151,10.728,-0.942,11.085,11.783,11.67,11.735,11.781,11.973,12.002,12.06,11.928,11.631,11.847,12.09,12.361,11.703,11.654,11.764,11.709,11.65,11.765,336900000
14000,8.149,10.566,-1.04,10.995,11.704,11.606,11.679,11.735,11.935,11.968,12.028,11.837,11.556,11.789,12.042,12.317,11.639,11.583,11.715,11.646,11.578,11.715,303800000
14500,8.147,10.41,-1.132,10.898,11.623,11.542,11.622,11.686,11.895,11.933,11.994,11.741,11.481,11.73,11.99,12.271,11.574,11.51,11.663,11.581,11.506,11.663,274400000
15000,8.146,10.259,-1.221,10.801,11.544,11.479,11.565,11.637,11.855,11.897,11.96,11.644,11.407,11.671,11.939,12.224,11.51,11.439,11.611,11.517,11.434,11.611,248200000
15500,8.144,10.112,-1.308,10.705,11.468,11.42,11.51,11.588,11.815,11.861,11.925,11.549,11.337,11.614,11.889,12.177,11.448,11.37,11.56,11.455,11.365,11.56,224800000
16000,8.143,9.971,-1.393,10.612,11.395,11.363,11.456,11.541,11.775,11.825,11.891,11.455,11.27,11.56,11.84,12.131,11.388,11.304,11.51,11.395,11.299,11.51,203900000
16500,8.141,9.833,-1.475,10.521,11.325,11.308,11.404,11.494,11.736,11.79,11.857,11.364,11.205,11.506,11.792,12.086,11.33,11.239,11.461,11.337,11.234,11.461,185100000
17000,8.14,9.7,-1.555,10.434,11.258,11.255,11.354,11.448,11.698,11.755,11.824,11.277,11.143,11.455,11.745,12.042,11.274,11.177,11.413,11.281,11.172,11.413,168100000
20000,8.13,8.971,-1.99,9.96,10.896,10.961,11.074,11.192,11.482,11.554,11.633,10.802,10.807,11.169,11.483,11.794,10.965,10.837,11.147,10.973,10.831,11.147,93970000
25000,8.114,7.961,-2.569,9.311,10.383,10.53,10.662,10.811,11.152,11.246,11.34,10.153,10.326,10.751,11.093,11.423,10.514,10.347,10.754,10.523,10.341,10.753,30980000
30000,8.097,7.127,-2.992,8.731,9.907,10.119,10.263,10.435,10.817,10.927,11.033,9.574,9.874,10.348,10.711,11.054,10.084,9.886,10.368,10.094,9.88,10.368,10550000
35000,8.073,6.396,-3.37,8.274,9.51,9.766,9.915,10.097,10.498,10.615,10.721,9.117,9.494,9.996,10.37,10.719,9.716,9.499,10.024,9.727,9.492,10.024,6837000
40000,8.054,5.77,-3.766,7.993,9.257,9.536,9.687,9.875,10.284,10.404,10.508,8.835,9.249,9.767,10.147,10.498,9.477,9.251,9.799,9.488,9.244,9.798,4157000
45000,8.035,5.21,-4.145,7.78,9.062,9.356,9.508,9.7,10.113,10.234,10.338,8.623,9.059,9.587,9.971,10.324,9.291,9.059,9.621,9.303,9.052,9.621,2838000
50000,8.013,4.698,-4.497,7.597,8.89,9.195,9.348,9.542,9.959,10.081,10.184,8.439,8.891,9.427,9.814,10.167,9.127,8.89,9.463,9.138,8.883,9.463,1822000
55000,7.994,4.238,-4.821,7.443,8.746,9.059,9.213,9.409,9.828,9.95,10.053,8.286,8.75,9.291,9.68,10.034,8.987,8.747,9.328,8.999,8.74,9.328,1532000
60000,7.973,3.805,-5.12,7.296,8.606,8.925,9.08,9.278,9.698,9.821,9.923,8.139,8.612,9.158,9.548,9.903,8.851,8.609,9.196,8.863,8.601,9.196,1244000
65000,7.95,3.401,-5.396,7.157,8.473,8.797,8.953,9.152,9.574,9.697,9.799,8,8.481,9.031,9.422,9.778,8.722,8.477,9.07,8.734,8.469,9.07,1026000
70000,7.927,3.021,-5.652,7.023,8.344,8.673,8.83,9.03,9.452,9.576,9.678,7.866,8.353,8.906,9.3,9.655,8.595,8.349,8.947,8.608,8.341,8.947,856400
75000,7.902,2.658,-5.891,6.891,8.216,8.549,8.706,8.907,9.331,9.455,9.557,7.733,8.227,8.783,9.177,9.533,8.47,8.222,8.824,8.482,8.214,8.824,717100
80000,7.874,2.31,-6.113,6.757,8.087,8.423,8.581,8.783,9.208,9.332,9.433,7.6,8.099,8.657,9.053,9.409,8.343,8.093,8.699,8.355,8.086,8.699,601400
85000,7.845,1.973,-6.322,6.623,7.956,8.296,8.454,8.657,9.082,9.207,9.308,7.466,7.969,8.53,8.926,9.283,8.214,7.963,8.572,8.227,7.956,8.572,502500
90000,7.812,1.644,-6.518,6.484,7.82,8.162,8.321,8.525,8.951,9.075,9.176,7.327,7.834,8.397,8.794,9.151,8.08,7.828,8.44,8.092,7.82,8.44,415800
100000,7.737,0.999,-6.878,6.189,7.529,7.876,8.036,8.241,8.668,8.793,8.894,7.032,7.545,8.112,8.51,8.868,7.792,7.538,8.155,7.805,7.53,8.155,272900
