#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,141000000,0.090000004,0.09,-2.822,3.4282,4.879,0,0,0.545,0,0,-1,-2.32E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.825,13.329,15.721,12.032
0.008,141000000,0.094817385,0.095,-2.784,3.4331,4.883,0,0,0.545,0,0,-1,-2.46E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.73,13.184,15.518,11.896
0.008,141000000,0.100000002,0.1,-2.742,3.439,4.888,0,0,0.545,0,0,-1,-2.62E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.625,13.015,15.293,11.738
0.008,141000000,0.108878255,0.109,-2.681,3.4468,4.895,0,0,0.545,0,0,-1,-2.87E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.472,12.783,14.971,11.522
0.008,141000000,0.120000005,0.12,-2.609,3.4562,4.903,0,0,0.545,0,0,-1,-3.2E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.292,12.521,14.567,11.281
0.008,141000000,0.132371008,0.132,-2.536,3.465,4.908,0,0,0.545,0,0,-1,-3.58E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.111,12.271,14.186,11.055
0.008,141000000,0.140000001,0.14,-2.494,3.4703,4.911,0,0,0.545,0,0,-1,-3.81E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.006,12.127,13.963,10.924
0.008,141000000,0.141633302,0.142,-2.486,3.4712,4.912,0,0,0.545,0,0,-1,-3.86E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.986,12.1,13.922,10.9
0.008,141000000,0.159999996,0.16,-2.398,3.4812,4.917,0,0,0.545,0,0,-1,-4.43E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.764,11.803,13.493,10.63
0.008,141000000,0.164713144,0.165,-2.378,3.4833,4.918,0,0,0.545,0,0,-1,-4.56E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.715,11.738,13.4,10.571
0.008,141000000,0.200000003,0.2,-2.237,3.4975,4.918,0,0,0.545,0,0,-1,-5.72E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.363,11.284,12.783,10.156
0.008,141000000,0.215777814,0.216,-2.185,3.5025,4.919,0,0,0.545,0,0,-1,-6.22E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.231,11.118,12.566,10.004
0.008,141000000,0.25,0.25,-2.078,3.5121,4.915,0,0,0.545,0,0,-1,-7.39E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.966,10.786,12.143,9.699
0.008,141000000,0.277506679,0.278,-2.002,3.519,4.911,0,0,0.545,0,0,-1,-8.39E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.775,10.551,11.85,9.482
0.008,141000000,0.29762724,0.298,-1.949,3.5235,4.907,0,0,0.545,0,0,-1,-9.16E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.642,10.388,11.651,9.332
0.008,141000000,0.300000012,0.3,-1.943,3.524,4.906,0,0,0.545,0,0,-1,-9.27E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.626,10.369,11.628,9.314
0.008,141000000,0.350000024,0.35,-1.805,3.5351,4.88,0,0,0.545,0,0,-1,-1.22E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.282,9.955,11.131,8.929
0.008,141000000,0.400000036,0.4,-1.656,3.5469,4.836,0,0,0.545,0,0,-1,-1.69E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.911,9.512,10.612,8.517
0.008,141000000,0.450000018,0.45,-1.5,3.5627,4.794,0,0,0.545,0,0,-1,-2.39E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.521,9.038,10.048,8.081
0.008,141000000,0.493781775,0.494,-1.353,3.5824,4.766,0,0,0.545,0,0,-1,-3.31E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.152,8.596,9.544,7.667
0.008,141000000,0.5,0.5,-1.335,3.5845,4.762,0,0,0.545,0,0,-1,-3.44E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.108,8.543,9.483,7.617
0.008,141000000,0.523529649,0.524,-1.269,3.5945,4.756,0,0,0.545,0,0,-1,-3.95E-15,0,0.729,0.263,0.001439,0.000388,0.003519,-1,0.007973,7.942,8.296,9.136,7.42
0.008,141000000,0.550000012,0.55,-1.199,3.6031,4.741,0,0,0.545,0,0,-1,-4.6E-15,0,0.7292,0.2629,0.001438,0.0003878,0.003517,-1,0.007945,7.767,8.077,8.861,7.232
0.008,141000000,0.552179515,0.552,-1.193,3.6039,4.741,0,0,0.545,0,0,-1,-4.65E-15,0,0.7292,0.2629,0.001438,0.0003878,0.003517,-1,0.007948,7.753,8.061,8.841,7.217
0.008,141000000,0.572133005,0.572,-1.138,3.6116,4.732,0,0,0.545,0,0,-1,-5.24E-15,0,0.7292,0.2628,0.001437,0.0003877,0.003516,-1,0.008,7.614,7.898,8.647,7.073
0.008,141000000,0.600000024,0.6,-1.046,3.6255,4.716,0,0,0.545,0,0,-1,-6.42E-15,0,0.7293,0.2627,0.001437,0.0003877,0.003516,-1,0.008,7.385,7.626,8.32,6.838
0.008,141000000,0.641157389,0.641,-0.912,3.6484,4.703,0,0,0.545,0,0,-1,-8.57E-15,0,0.7293,0.2627,0.001437,0.0003876,0.003515,-1,0.00799,7.051,7.209,7.816,6.48
0.008,141000000,0.649999976,0.65,-0.885,3.6532,4.701,0,0,0.545,0,0,-1,-9.08E-15,0,0.7293,0.2627,0.001437,0.0003876,0.003515,-1,0.007984,6.983,7.124,7.713,6.408
0.008,141000000,0.700000048,0.7,-0.73,3.68,4.685,0,0,0.545,0,0,-1,-1.27E-14,0,0.7294,0.2627,0.001437,0.0003876,0.003515,-1,0.007952,6.596,6.646,7.151,5.994
0.008,141000000,0.744185925,0.744,-0.604,3.7009,4.67,0,0,0.538,0,0,-1,-1.68E-14,0,0.7294,0.2626,0.001419,0.000387,0.003515,-1,0.007989,6.281,6.273,6.722,5.669
0.008,141000000,0.75,0.75,-0.588,3.7037,4.668,0,0,0.538,0,0,-1,-1.74E-14,0,0.7294,0.2626,0.001417,0.000387,0.003515,-1,0.007999,6.241,6.227,6.67,5.629
0.008,141000000,0.797727287,0.798,-0.464,3.7232,4.649,0,0,0.538,0,0,-1,-2.29E-14,0,0.7296,0.2624,0.001416,0.0003868,0.003513,-1,0.007993,5.931,5.879,6.274,5.322
0.008,141000000,0.845454574,0.845,-0.347,3.7409,4.628,0,0,0.538,0,0,-1,-2.98E-14,0,0.7297,0.2623,0.001416,0.0003867,0.003513,-1,0.007988,5.638,5.563,5.918,5.043
0.008,141000000,0.873568416,0.873,-0.279,3.75,4.61,0,0,0.538,0,0,-1,-3.51E-14,0,0.7299,0.2621,0.001415,0.0003864,0.00351,-1,0.008,5.467,5.385,5.72,4.883
