#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,112000000,0.595775664,0.596,-1.045,3.6271,4.718,0,0,0.545,0,0,-1,-6.46E-15,0,0.7291,0.2629,0.001438,0.0003878,0.003517,-1,0.007996,7.382,7.617,8.305,6.833
0.008,112000000,0.600000024,0.6,-1.036,3.6283,4.717,0,0,0.545,0,0,-1,-6.59E-15,0,0.7292,0.2628,0.001437,0.0003878,0.003517,-1,0.008,7.359,7.589,8.272,6.808
0.008,112000000,0.602321565,0.602,-1.03,3.6292,4.717,0,0,0.545,0,0,-1,-6.66E-15,0,0.7292,0.2628,0.001437,0.0003878,0.003517,-1,0.008,7.346,7.573,8.253,6.794
0.008,112000000,0.61553365,0.616,-0.996,3.6346,4.713,0,0,0.545,0,0,-1,-7.14E-15,0,0.7292,0.2628,0.001437,0.0003878,0.003517,-1,0.008,7.26,7.468,8.127,6.703
0.008,112000000,0.649999976,0.65,-0.886,3.6534,4.702,0,0,0.545,0,0,-1,-9.05E-15,0,0.7292,0.2628,0.001438,0.0003877,0.003516,-1,0.007994,6.985,7.125,7.713,6.409
0.008,112000000,0.700000048,0.7,-0.731,3.6803,4.688,0,0,0.545,0,0,-1,-1.27E-14,0,0.7293,0.2628,0.001437,0.0003877,0.003516,-1,0.007974,6.598,6.647,7.151,5.996
0.008,112000000,0.75,0.75,-0.589,3.7042,4.671,0,0,0.538,0,0,-1,-1.73E-14,0,0.7293,0.2627,0.001418,0.0003871,0.003516,-1,0.008,6.243,6.228,6.669,5.631
0.008,112000000,0.79231894,0.792,-0.479,3.721,4.651,0,0,0.538,0,0,-1,-2.22E-14,0,0.7294,0.2626,0.001417,0.000387,0.003515,-1,0.008,5.966,5.919,6.319,5.357
0.008,112000000,0.797727287,0.798,-0.465,3.7231,4.649,0,0,0.538,0,0,-1,-2.29E-14,0,0.7294,0.2626,0.001417,0.000387,0.003515,-1,0.007999,5.932,5.88,6.276,5.323
0.008,112000000,0.845454574,0.845,-0.348,3.7408,4.628,0,0,0.538,0,0,-1,-2.98E-14,0,0.7295,0.2625,0.001417,0.0003869,0.003514,-1,0.007993,5.64,5.565,5.92,5.045
0.008,112000000,0.862596631,0.862,-0.306,3.7465,4.617,0,0,0.538,0,0,-1,-3.29E-14,0,0.7297,0.2623,0.001416,0.0003867,0.003512,-1,0.008,5.535,5.455,5.798,4.947
0.008,112000000,0.893181801,0.893,-0.236,3.7564,4.603,0,0,0.538,0,0,-1,-3.86E-14,0,0.7296,0.2624,0.001416,0.0003868,0.003513,-1,0.007947,5.361,5.274,5.596,4.786
0.008,112000000,0.940909088,0.94,-0.132,3.7701,4.576,0,0,0.538,0,0,-1,-4.95E-14,0,0.7297,0.2623,0.001416,0.0003866,0.003512,-1,0.007989,5.1,5.006,5.299,4.547
0.008,112000000,0.988636315,0.989,-0.028,3.7824,4.543,0,0,0.538,0,0,-1,-6.35E-14,0,0.73,0.2621,0.001415,0.0003863,0.003509,-1,0.007939,4.84,4.744,5.013,4.311
0.008,112000000,1.024972439,1.025,0.046,3.7908,4.518,0,0,0.538,0,0,-1,-7.3E-14,0,0.7304,0.2617,0.001413,0.0003858,0.003504,-1,0.007961,4.655,4.559,4.811,4.143
0.008,112000000,1.036363602,1.036,0.069,3.7934,4.51,0,0,0.538,0,0,-1,-7.62E-14,0,0.7304,0.2616,0.001413,0.0003857,0.003504,-1,0.007975,4.598,4.502,4.75,4.092
0.008,112000000,1.084090948,1.083,0.16,3.8034,4.478,0,0,0.538,0,0,-1,-8.85E-14,0,0.7306,0.2615,0.001412,0.0003856,0.003502,-1,0.00792,4.369,4.274,4.504,3.886
0.008,112000000,1.088279247,1.088,0.17,3.8044,4.474,0,0,0.538,0,0,-1,-8.99E-14,0,0.7307,0.2614,0.001412,0.0003855,0.003501,-1,0.007911,4.346,4.252,4.48,3.865
0.008,112000000,1.090560436,1.09,0.175,3.805,4.473,0,0,0.538,0,0,-1,-9.08E-14,0,0.7308,0.2614,0.001411,0.0003854,0.003501,-1,0.007881,4.333,4.239,4.466,3.853
0.008,112000000,1.131818175,1.131,0.252,3.8133,4.445,0,0,0.538,0,0,-1,-1.02E-13,0,0.7306,0.2614,0.001412,0.0003857,0.003504,-1,0.00795,4.141,4.048,4.261,3.681
0.008,112000000,1.179545403,1.179,0.337,3.8228,4.416,0,0,0.538,0,0,-1,-1.16E-13,0,0.7307,0.2614,0.001412,0.0003857,0.003503,-1,0.007972,3.928,3.836,4.033,3.491
0.008,112000000,1.22727263,1.227,0.418,3.8325,4.391,0,0,0.537,0,0,-1,-1.27E-13,0,0.7307,0.2614,0.001412,0.0003857,0.003503,-1,0.007955,3.725,3.636,3.818,3.312
0.008,112000000,1.274999857,1.275,0.495,3.8427,4.371,0,0,0.537,0,0,-1,-1.37E-13,0,0.7307,0.2614,0.001412,0.0003857,0.003503,-1,0.007952,3.533,3.447,3.613,3.146
0.008,112000000,1.322727323,1.323,0.568,3.8539,4.359,0,0,0.538,0,0,-1,-1.44E-13,0,0.7307,0.2613,0.001412,0.0003856,0.003502,-1,0.007975,3.351,3.268,3.418,2.993
0.008,112000000,1.37045455,1.371,0.637,3.8666,4.357,1,0,0.538,0,0,-1,-1.45E-13,0,0.7308,0.2612,0.001412,0.0003855,0.003502,-1,0.007967,3.178,3.101,3.233,2.857
0.008,112000000,1.418181896,1.419,0.702,3.8806,4.362,1,0,0.537,0,0,-1,-1.4E-13,0,0.7309,0.2612,0.001411,0.0003854,0.003501,-1,0.007948,3.015,2.945,3.057,2.734
0.008,112000000,1.465909123,1.466,0.765,3.8949,4.371,1,0,0.537,0,0,-1,-1.31E-13,0,0.7309,0.2611,0.001411,0.0003853,0.003501,-1,0.007968,2.857,2.798,2.891,2.622
0.008,112000000,1.513636351,1.514,0.826,3.9088,4.379,1,0,0.537,0,0,-1,-1.17E-13,0,0.731,0.2611,0.001411,0.0003853,0.0035,-1,0.007927,2.704,2.659,2.733,2.516
0.008,112000000,1.561363578,1.561,0.885,3.9219,4.386,1,0,0.538,0,0,-1,-9.68E-14,0,0.731,0.261,0.001411,0.0003852,0.003499,-1,0.00799,2.557,2.53,2.587,2.42
0.008,112000000,1.609090805,1.609,0.942,3.9343,4.392,1,0,0.538,0,0,-1,-6.95E-14,0,0.7311,0.261,0.00141,0.0003851,0.003498,-1,0.007939,2.415,2.413,2.455,2.331
0.008,112000000,1.656818152,1.657,0.996,3.9459,4.397,1,0,0.537,0,0,-1,-2.33E-16,0,0.7312,0.2609,0.00141,0.0003851,0.003498,-1,0.007936,2.279,2.307,2.337,2.25
0.008,112000000,1.70454526,1.704,1.049,3.9569,4.401,1,0,0.537,0,0,-1,-1E-30,0,0.7312,0.2608,0.00141,0.000385,0.003498,-1,0.007947,2.149,2.211,2.23,2.173
0.008,112000000,1.743909717,1.743,1.09,3.9654,4.403,1,0,0.537,0,0,-1,-1E-30,0,0.7313,0.2608,0.001409,0.000385,0.003497,-1,0.007945,2.045,2.136,2.147,2.112
0.008,112000000,1.752272606,1.752,1.099,3.9672,4.403,1,0,0.537,0,0,-1,-1E-30,0,0.7313,0.2608,0.001409,0.000385,0.003497,-1,0.007944,2.023,2.121,2.131,2.1
0.008,112000000,1.799999952,1.799,1.147,3.9766,4.404,1,0,0.537,0,0,-1,-1E-30,0,0.7313,0.2608,0.001409,0.0003849,0.003497,-1,0.007904,1.902,2.036,2.038,2.029
0.008,112000000,1.850000024,1.849,1.196,3.9858,4.404,1,0,0.537,0,0,-1,-1E-30,0,0.7313,0.2607,0.001409,0.0003849,0.003497,-1,0.007912,1.78,1.953,1.948,1.957
0.008,112000000,1.899999976,1.9,1.243,3.9946,4.404,1,0,0.537,0,0,-1,-1E-30,0,0.7314,0.2607,0.001409,0.0003849,0.003496,-1,0.007935,1.662,1.873,1.863,1.887
0.008,112000000,1.950000048,1.95,1.289,4.0028,4.402,1,0,0.537,0,0,-1,-1E-30,0,0.7314,0.2607,0.001409,0.0003848,0.003496,-1,0.007919,1.548,1.796,1.78,1.819
0.008,112000000,2,2.001,1.334,4.0105,4.4,1,0,0.537,0,0,-1,-1E-30,0,0.7314,0.2607,0.001409,0.0003848,0.003496,-1,0.007904,1.436,1.721,1.7,1.751
0.008,112000000,2.049999952,2.05,1.377,4.0178,4.396,1,0,0.538,0,0,-1,-1E-30,0,0.7315,0.2606,0.001409,0.0003848,0.003495,-1,0.007945,1.328,1.648,1.623,1.685
