#Teff,#log g,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
25000,7.792,7.521,-2.628,8.915,10.008,10.149,10.255,10.371,10.684,10.789,10.87,9.753,9.95,10.346,10.668,10.968,10.117,9.959,10.315,10.126,9.953,10.315,18570000
26000,7.787,7.339,-2.756,8.846,9.946,10.095,10.204,10.325,10.641,10.747,10.828,9.685,9.89,10.294,10.62,10.923,10.062,9.9,10.268,10.071,9.894,10.267,16130000
27000,7.782,7.163,-2.872,8.768,9.876,10.035,10.148,10.273,10.595,10.701,10.783,9.607,9.824,10.237,10.567,10.873,10.001,9.834,10.215,10.01,9.828,10.214,14170000
28000,7.777,6.993,-2.98,8.686,9.804,9.973,10.089,10.219,10.546,10.654,10.737,9.526,9.755,10.177,10.512,10.82,9.937,9.765,10.159,9.946,9.759,10.158,12580000
29000,7.773,6.828,-3.082,8.604,9.732,9.91,10.03,10.165,10.497,10.606,10.691,9.444,9.686,10.116,10.456,10.767,9.872,9.696,10.103,9.881,9.69,10.102,11250000
30000,7.767,6.668,-3.18,8.522,9.66,9.848,9.97,10.109,10.447,10.558,10.643,9.362,9.617,10.056,10.399,10.713,9.808,9.628,10.046,9.817,9.622,10.045,10110000
31000,7.761,6.51,-3.274,8.439,9.587,9.784,9.908,10.051,10.394,10.506,10.594,9.279,9.548,9.993,10.34,10.656,9.742,9.558,9.986,9.751,9.552,9.986,15630000
32000,7.756,6.36,-3.364,8.361,9.519,9.723,9.849,9.996,10.345,10.458,10.547,9.201,9.482,9.934,10.284,10.602,9.679,9.492,9.93,9.689,9.486,9.93,14560000
33000,7.751,6.214,-3.45,8.284,9.451,9.664,9.792,9.942,10.295,10.41,10.5,9.124,9.417,9.876,10.228,10.549,9.618,9.426,9.875,9.627,9.42,9.874,13640000
34000,7.746,6.072,-3.532,8.207,9.384,9.604,9.734,9.888,10.246,10.362,10.454,9.047,9.353,9.818,10.173,10.496,9.556,9.361,9.819,9.566,9.355,9.819,12830000
35000,7.741,5.934,-3.611,8.132,9.318,9.545,9.677,9.834,10.197,10.315,10.408,8.972,9.29,9.76,10.119,10.444,9.496,9.298,9.765,9.506,9.291,9.764,12110000
36000,7.736,5.799,-3.688,8.058,9.253,9.486,9.62,9.781,10.148,10.267,10.362,8.898,9.227,9.703,10.064,10.391,9.436,9.234,9.71,9.446,9.227,9.709,11470000
37000,7.731,5.667,-3.76,7.983,9.187,9.427,9.563,9.726,10.098,10.219,10.315,8.824,9.163,9.645,10.009,10.338,9.375,9.17,9.655,9.385,9.163,9.654,10900000
38000,7.726,5.538,-3.829,7.909,9.121,9.367,9.505,9.672,10.048,10.17,10.268,8.749,9.099,9.587,9.953,10.285,9.313,9.105,9.599,9.324,9.099,9.598,10380000
39000,7.72,5.411,-3.895,7.833,9.054,9.306,9.446,9.616,9.996,10.121,10.22,8.674,9.034,9.527,9.896,10.23,9.251,9.04,9.542,9.261,9.033,9.542,9909000
40000,7.715,5.287,-3.957,7.756,8.985,9.244,9.386,9.559,9.944,10.07,10.17,8.597,8.968,9.466,9.838,10.174,9.187,8.972,9.484,9.198,8.966,9.483,9475000
42500,7.7,4.986,-4.097,7.556,8.809,9.084,9.231,9.41,9.807,9.937,10.042,8.397,8.798,9.31,9.688,10.029,9.023,8.8,9.334,9.034,8.793,9.333,8524000
45000,7.684,4.699,-4.191,7.316,8.596,8.891,9.046,9.236,9.649,9.785,9.895,8.158,8.593,9.124,9.511,9.859,8.827,8.593,9.157,8.838,8.586,9.156,7724000
47500,7.668,4.424,-4.212,7.005,8.321,8.637,8.788,8.981,9.406,9.541,9.652,7.846,8.327,8.867,9.253,9.607,8.563,8.32,8.902,8.575,8.313,8.902,7043000
50000,7.651,4.158,-4.36,6.869,8.195,8.518,8.666,8.858,9.285,9.415,9.525,7.71,8.203,8.745,9.13,9.484,8.439,8.195,8.779,8.451,8.188,8.779,6459000
