#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,158000000,0.090000004,0.09,-2.861,3.4265,4.912,0,0,0.545,0,0,-1,-2.04E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.924,13.442,15.864,12.142
0.008,158000000,0.095909551,0.096,-2.813,3.4331,4.917,0,0,0.545,0,0,-1,-2.2E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.801,13.256,15.596,11.967
0.008,158000000,0.100000002,0.1,-2.778,3.4381,4.921,0,0,0.545,0,0,-1,-2.32E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.716,13.115,15.404,11.836
0.008,158000000,0.100673653,0.101,-2.774,3.4387,4.922,0,0,0.545,0,0,-1,-2.33E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.705,13.097,15.38,11.819
0.008,158000000,0.111102231,0.111,-2.701,3.448,4.929,0,0,0.545,0,0,-1,-2.6E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.523,12.824,14.993,11.565
0.008,158000000,0.120000005,0.12,-2.644,3.4557,4.936,0,0,0.545,0,0,-1,-2.84E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.38,12.613,14.668,11.373
0.008,158000000,0.137256756,0.137,-2.541,3.4682,4.941,0,0,0.545,0,0,-1,-3.35E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.122,12.258,14.125,11.05
0.008,158000000,0.140000001,0.14,-2.525,3.4701,4.941,0,0,0.545,0,0,-1,-3.44E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.082,12.204,14.042,11.001
0.008,158000000,0.153367952,0.153,-2.459,3.4777,4.945,0,0,0.545,0,0,-1,-3.8E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.917,11.983,13.718,10.8
0.008,158000000,0.159999996,0.16,-2.427,3.4813,4.946,0,0,0.545,0,0,-1,-4E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.837,11.875,13.563,10.703
0.008,158000000,0.177848533,0.178,-2.351,3.4891,4.948,0,0,0.545,0,0,-1,-4.51E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.648,11.63,13.222,10.478
