#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,8.657,17.791,-1.102,21.008,20.351,18.893,17.959,17.062,16.06,15.582,15.451,21.852,19.691,18.323,17.682,17.294,18.166,19.093,17.25,18.17,19.089,17.253,7840000000
3500,8.657,17.469,-0.881,20.174,19.668,18.35,17.508,16.691,15.805,15.38,15.265,21.017,19.067,17.842,17.282,16.955,17.727,18.55,16.864,17.732,18.547,16.868,7714000000
3750,8.657,17.17,-0.687,19.409,19.045,17.856,17.099,16.358,15.58,15.204,15.115,20.251,18.497,17.407,16.923,16.651,17.324,18.053,16.516,17.33,18.05,16.521,7582000000
4000,8.657,16.889,-0.534,18.736,18.498,17.424,16.741,16.068,15.383,15.049,14.973,19.576,17.996,17.026,16.61,16.387,16.967,17.614,16.211,16.973,17.61,16.217,7437000000
4250,8.657,16.626,-0.41,18.13,18.006,17.036,16.421,15.81,15.209,14.909,14.839,18.967,17.546,16.685,16.331,16.152,16.643,17.216,15.94,16.65,17.213,15.945,7270000000
4500,8.657,16.377,-0.319,17.602,17.577,16.696,16.136,15.578,15.048,14.777,14.709,18.437,17.152,16.385,16.081,15.939,16.353,16.865,15.696,16.36,16.861,15.702,7093000000
4750,8.657,16.142,-0.247,17.132,17.193,16.389,15.878,15.366,14.9,14.656,14.59,17.966,16.798,16.113,15.854,15.745,16.087,16.546,15.473,16.094,16.543,15.479,6899000000
5000,8.656,15.919,-0.191,16.701,16.841,16.11,15.643,15.176,14.769,14.548,14.484,17.534,16.475,15.866,15.649,15.571,15.844,16.253,15.272,15.851,16.25,15.278,6688000000
5250,8.656,15.707,-0.151,16.309,16.523,15.858,15.431,15.004,14.649,14.447,14.382,17.141,16.182,15.643,15.465,15.413,15.621,15.987,15.091,15.629,15.984,15.097,6442000000
5500,8.656,15.505,-0.124,15.957,16.236,15.629,15.237,14.845,14.535,14.35,14.283,16.788,15.917,15.439,15.294,15.266,15.417,15.744,14.923,15.424,15.741,14.929,6106000000
5750,8.656,15.311,-0.108,15.637,15.973,15.418,15.058,14.697,14.428,14.258,14.191,16.468,15.674,15.252,15.137,15.13,15.227,15.52,14.768,15.234,15.517,14.773,5680000000
6000,8.656,15.125,-0.099,15.342,15.732,15.224,14.893,14.561,14.329,14.173,14.107,16.173,15.45,15.079,14.991,15.004,15.05,15.313,14.624,15.058,15.31,14.63,5315000000
6250,8.655,14.947,-0.097,15.07,15.507,15.044,14.739,14.435,14.238,14.095,14.031,15.9,15.242,14.919,14.856,14.888,14.886,15.12,14.491,14.893,15.116,14.496,4946000000
