# Teff,# log_g,# Mbol,# BC,# U,# B,# V,# R,# I,# J,# H,# K,# u,# g,# r,# i,# z,# G,# G_BP,# G_RP,# G/R,#G_BP/R,#G_RP/R,Age
15500,7.788,9.587,-1.32,10.205,10.928,10.907,10.995,11.077,11.295,11.346,11.407,11.051,10.804,11.098,11.378,11.664,10.927,10.846,11.045,10.933,10.842,11.045,124900000
16000,7.785,9.442,-1.405,10.106,10.853,10.848,10.939,11.026,11.252,11.307,11.369,10.952,10.734,11.04,11.325,11.615,10.864,10.777,10.991,10.871,10.772,10.991,110600000
16500,7.782,9.302,-1.487,10.011,10.781,10.789,10.883,10.975,11.21,11.267,11.332,10.856,10.667,10.984,11.273,11.566,10.803,10.71,10.939,10.809,10.705,10.938,97720000
17000,7.78,9.165,-1.567,9.918,10.711,10.732,10.829,10.926,11.168,11.229,11.295,10.764,10.602,10.929,11.223,11.518,10.744,10.644,10.887,10.75,10.639,10.887,86380000
20000,7.762,8.414,-2.001,9.419,10.33,10.415,10.526,10.646,10.929,11.004,11.081,10.263,10.245,10.62,10.936,11.246,10.412,10.283,10.598,10.419,10.277,10.597,41760000
25000,7.729,7.365,-2.58,8.73,9.784,9.945,10.075,10.225,10.561,10.656,10.749,9.573,9.728,10.163,10.507,10.835,9.924,9.756,10.165,9.932,9.75,10.165,16640000
30000,7.696,6.489,-3.003,8.108,9.269,9.492,9.635,9.808,10.185,10.298,10.403,8.951,9.238,9.719,10.084,10.426,9.453,9.255,9.739,9.463,9.248,9.738,9223000
35000,7.645,5.693,-3.375,7.577,8.803,9.067,9.215,9.398,9.795,9.914,10.018,8.42,8.788,9.296,9.671,10.019,9.013,8.797,9.323,9.024,8.79,9.323,5750000
40000,7.606,5.015,-3.767,7.239,8.496,8.782,8.932,9.12,9.526,9.646,9.749,8.082,8.489,9.011,9.393,9.743,8.72,8.494,9.043,8.731,8.487,9.042,3825000
45000,7.562,4.393,-4.144,6.961,8.237,8.536,8.688,8.879,9.29,9.411,9.513,7.804,8.235,8.766,9.151,9.503,8.469,8.237,8.8,8.481,8.23,8.8,2619000
50000,7.513,3.814,-4.493,6.709,7.997,8.307,8.459,8.653,9.066,9.188,9.289,7.552,7.999,8.537,8.924,9.277,8.236,7.999,8.572,8.248,7.992,8.573,1758000
55000,7.461,3.268,-4.814,6.467,7.765,8.082,8.236,8.431,8.847,8.969,9.069,7.31,7.77,8.313,8.702,9.056,8.009,7.769,8.35,8.021,7.762,8.35,1138000
60000,7.404,2.748,-5.11,6.229,7.535,7.858,8.012,8.209,8.626,8.748,8.848,7.072,7.541,8.089,8.48,8.834,7.782,7.539,8.127,7.794,7.532,8.127,705800
65000,7.341,2.245,-5.382,5.987,7.299,7.627,7.782,7.98,8.398,8.52,8.62,6.83,7.307,7.859,8.25,8.605,7.549,7.304,7.897,7.561,7.297,7.897,420700
70000,7.279,1.767,-5.634,5.751,7.069,7.401,7.556,7.755,8.175,8.297,8.397,6.594,7.078,7.633,8.026,8.381,7.322,7.075,7.672,7.334,7.068,7.672,246500
75000,7.215,1.307,-5.868,5.517,6.839,7.175,7.331,7.531,7.951,8.074,8.173,6.36,6.85,7.408,7.801,8.156,7.095,6.846,7.447,7.107,6.839,7.448,141800
80000,7.139,0.837,-6.085,5.257,6.583,6.923,7.079,7.279,7.701,7.823,7.922,6.101,6.596,7.156,7.55,7.905,6.841,6.591,7.196,6.853,6.584,7.196,78500
85000,7.06,0.375,-6.288,4.992,6.321,6.663,6.82,7.021,7.443,7.566,7.665,5.835,6.334,6.896,7.291,7.647,6.58,6.329,6.937,6.592,6.322,6.937,42540
90000,6.968,-0.102,-6.477,4.697,6.03,6.374,6.532,6.733,7.156,7.279,7.379,5.54,6.044,6.608,7.003,7.359,6.29,6.039,6.649,6.303,6.031,6.649,22960
100000,6.744,-1.12,-6.817,4.01,5.348,5.697,5.855,6.059,6.484,6.608,6.708,4.854,5.364,5.931,6.328,6.685,5.612,5.358,5.974,5.624,5.35,5.974,4815
