#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
40000,8.231,6.068,-3.766,8.29,9.557,9.834,9.985,10.172,10.582,10.702,10.807,9.132,9.549,10.065,10.445,10.796,9.776,9.55,10.097,9.787,9.543,10.097,4455000
45000,8.217,5.52,-4.146,8.09,9.374,9.666,9.819,10.01,10.425,10.546,10.65,8.933,9.371,9.898,10.282,10.634,9.603,9.371,9.932,9.614,9.363,9.932,2844000
50000,8.203,5.028,-4.498,7.928,9.224,9.526,9.68,9.874,10.291,10.413,10.517,8.77,9.225,9.759,10.145,10.499,9.459,9.222,9.795,9.47,9.215,9.795,2025000
55000,8.188,4.578,-4.823,7.785,9.09,9.401,9.556,9.752,10.171,10.294,10.397,8.628,9.094,9.634,10.022,10.377,9.33,9.09,9.671,9.342,9.083,9.671,1562000
60000,8.175,4.166,-5.122,7.659,8.971,9.288,9.444,9.642,10.063,10.186,10.29,8.502,8.977,9.522,9.912,10.267,9.215,8.973,9.56,9.227,8.965,9.56,1267000
65000,8.16,3.781,-5.4,7.54,8.857,9.18,9.337,9.536,9.959,10.083,10.185,8.382,8.865,9.414,9.806,10.162,9.105,8.861,9.454,9.117,8.853,9.454,1053000
70000,8.144,3.419,-5.657,7.426,8.748,9.076,9.233,9.434,9.858,9.982,10.085,8.269,8.758,9.31,9.703,10.06,9,8.753,9.351,9.012,8.745,9.351,891700
75000,8.128,3.081,-5.896,7.319,8.645,8.977,9.135,9.336,9.761,9.886,9.988,8.162,8.656,9.212,9.606,9.963,8.899,8.651,9.253,8.911,8.643,9.253,766300
80000,8.112,2.76,-6.12,7.215,8.545,8.881,9.039,9.241,9.667,9.792,9.894,8.058,8.557,9.115,9.511,9.868,8.801,8.551,9.157,8.814,8.544,9.157,664600
85000,8.094,2.451,-6.331,7.11,8.443,8.782,8.941,9.144,9.571,9.696,9.798,7.953,8.456,9.017,9.413,9.771,8.701,8.45,9.06,8.714,8.443,9.06,580100
90000,8.076,2.158,-6.528,7.009,8.345,8.687,8.846,9.05,9.478,9.603,9.705,7.852,8.359,8.922,9.319,9.677,8.605,8.353,8.965,8.618,8.345,8.965,510100
100000,8.036,1.601,-6.892,6.805,8.146,8.493,8.653,8.858,9.287,9.413,9.515,7.648,8.162,8.729,9.127,9.486,8.409,8.155,8.773,8.422,8.147,8.773,397300
