#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
26000,8.157,7.898,-2.733,9.365,10.485,10.631,10.74,10.855,11.175,11.282,11.366,10.203,10.431,10.831,11.152,11.455,10.598,10.435,10.801,10.608,10.429,10.8,28850000
27000,8.155,7.728,-2.858,9.308,10.434,10.587,10.699,10.818,11.142,11.249,11.334,10.146,10.381,10.789,11.114,11.419,10.553,10.386,10.763,10.562,10.38,10.762,22900000
28000,8.152,7.564,-2.972,9.243,10.376,10.537,10.653,10.777,11.105,11.214,11.299,10.081,10.326,10.742,11.071,11.38,10.502,10.331,10.72,10.512,10.325,10.719,18350000
29000,8.15,7.406,-3.078,9.174,10.315,10.484,10.604,10.733,11.067,11.177,11.263,10.012,10.267,10.692,11.026,11.337,10.449,10.274,10.674,10.458,10.267,10.674,14900000
30000,8.147,7.253,-3.178,9.103,10.252,10.431,10.553,10.688,11.026,11.138,11.225,9.942,10.208,10.641,10.979,11.293,10.394,10.214,10.627,10.403,10.208,10.626,12300000
31000,8.142,7.096,-3.273,9.024,10.182,10.369,10.495,10.633,10.977,11.09,11.178,9.863,10.141,10.581,10.923,11.24,10.33,10.147,10.571,10.34,10.141,10.57,14890000
32000,8.14,6.953,-3.363,8.953,10.12,10.316,10.444,10.586,10.935,11.049,11.139,9.792,10.082,10.529,10.875,11.194,10.275,10.088,10.523,10.285,10.082,10.522,13270000
33000,8.137,6.814,-3.45,8.884,10.06,10.264,10.393,10.54,10.893,11.009,11.1,9.723,10.025,10.478,10.827,11.148,10.221,10.03,10.475,10.231,10.024,10.474,11970000
34000,8.135,6.679,-3.533,8.815,10,10.212,10.343,10.493,10.851,10.969,11.061,9.654,9.968,10.428,10.78,11.103,10.167,9.973,10.427,10.177,9.967,10.426,10920000
35000,8.133,6.548,-3.614,8.748,9.943,10.161,10.294,10.447,10.81,10.929,11.023,9.588,9.912,10.378,10.733,11.058,10.115,9.917,10.38,10.125,9.911,10.379,10060000
36000,8.131,6.42,-3.69,8.682,9.885,10.11,10.246,10.402,10.769,10.89,10.985,9.522,9.857,10.329,10.686,11.014,10.062,9.861,10.334,10.073,9.855,10.333,9332000
37000,8.129,6.296,-3.764,8.617,9.828,10.06,10.197,10.357,10.728,10.85,10.947,9.457,9.802,10.28,10.64,10.97,10.011,9.806,10.287,10.021,9.8,10.286,8718000
38000,8.127,6.175,-3.835,8.552,9.771,10.01,10.149,10.311,10.687,10.811,10.909,9.392,9.748,10.231,10.594,10.925,9.959,9.751,10.241,9.969,9.745,10.24,8190000
39000,8.125,6.057,-3.902,8.488,9.714,9.959,10.1,10.265,10.646,10.771,10.87,9.328,9.693,10.182,10.547,10.881,9.906,9.696,10.194,9.917,9.689,10.193,7732000
40000,8.122,5.941,-3.967,8.422,9.657,9.907,10.05,10.219,10.603,10.73,10.831,9.263,9.638,10.131,10.5,10.835,9.853,9.64,10.146,9.864,9.633,10.146,7331000
42500,8.117,5.663,-4.11,8.249,9.506,9.773,9.92,10.095,10.491,10.621,10.726,9.09,9.493,10,10.374,10.714,9.715,9.493,10.021,9.726,9.486,10.02,6518000
45000,8.11,5.399,-4.228,8.066,9.344,9.627,9.781,9.965,10.372,10.508,10.617,8.907,9.337,9.86,10.241,10.587,9.566,9.335,9.888,9.577,9.328,9.887,5894000
47500,8.104,5.148,-4.267,7.797,9.108,9.415,9.573,9.767,10.193,10.333,10.448,8.638,9.11,9.651,10.039,10.393,9.347,9.105,9.688,9.358,9.097,9.687,5400000
50000,8.097,4.909,-4.347,7.606,8.933,9.256,9.407,9.599,10.028,10.16,10.272,8.447,8.942,9.485,9.871,10.226,9.178,8.933,9.521,9.191,8.926,9.521,4998000
