#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
2500,8.488,18.623,0.377,21.908,20.258,18.245,17.598,17.764,18.224,18.65,19.379,22.834,19.305,17.673,18.112,18.096,18.099,18.51,17.571,18.11,18.506,17.566,11630000000
2750,8.488,18.209,0.183,21.479,19.95,18.026,17.295,17.134,17.559,18.037,18.595,22.385,19.041,17.446,17.536,17.51,17.735,18.28,17.081,17.747,18.276,17.086,11460000000
3000,8.488,17.83,0.021,21.069,19.649,17.81,17.028,16.633,16.974,17.478,17.915,21.96,18.781,17.241,17.087,17.024,17.411,18.062,16.677,17.423,18.058,16.685,11290000000
3250,8.488,17.483,-0.117,20.65,19.343,17.599,16.798,16.243,16.428,16.929,17.272,21.531,18.519,17.055,16.74,16.625,17.131,17.851,16.348,17.142,17.847,16.357,11120000000
3500,8.487,17.16,-0.224,20.212,19.026,17.385,16.591,15.955,15.919,16.383,16.664,21.087,18.249,16.871,16.478,16.314,16.89,17.636,16.088,16.9,17.632,16.096,10930000000
3750,8.487,16.86,-0.297,19.749,18.691,17.158,16.395,15.735,15.469,15.847,16.066,20.62,17.963,16.68,16.267,16.078,16.673,17.408,15.875,16.682,17.404,15.882,10730000000
4000,8.487,16.58,-0.337,19.259,18.333,16.917,16.198,15.548,15.101,15.335,15.491,20.126,17.657,16.478,16.078,15.884,16.463,17.163,15.685,16.471,17.159,15.691,10440000000
4250,8.487,16.316,-0.349,18.729,17.954,16.665,15.996,15.372,14.825,14.874,14.954,19.592,17.335,16.266,15.895,15.712,16.251,16.903,15.503,16.258,16.899,15.509,10070000000
4500,8.486,16.066,-0.332,18.166,17.555,16.398,15.782,15.194,14.625,14.494,14.516,19.022,16.995,16.04,15.706,15.544,16.027,16.624,15.317,16.035,16.62,15.323,9694000000
4750,8.486,15.831,-0.29,17.591,17.148,16.121,15.557,15.009,14.465,14.217,14.183,18.441,16.646,15.803,15.509,15.372,15.792,16.33,15.124,15.799,16.327,15.13,9237000000
5000,8.486,15.606,-0.234,17.03,16.748,15.841,15.328,14.822,14.321,14.027,13.953,17.873,16.298,15.561,15.309,15.199,15.551,16.031,14.927,15.558,16.028,14.933,8702000000
5250,8.485,15.392,-0.183,16.511,16.377,15.575,15.11,14.643,14.189,13.89,13.807,17.349,15.971,15.331,15.118,15.034,15.318,15.746,14.74,15.325,15.743,14.745,7999000000
5500,8.483,15.187,-0.139,16.032,16.034,15.326,14.904,14.474,14.065,13.776,13.699,16.865,15.668,15.116,14.937,14.878,15.098,15.477,14.562,15.105,15.474,14.568,7010000000
6000,8.48,14.802,-0.094,15.191,15.447,14.896,14.547,14.18,13.848,13.591,13.535,16.018,15.148,14.742,14.623,14.606,14.71,15.004,14.254,14.717,15.001,14.26,5180000000
6500,8.479,14.45,-0.097,14.535,14.985,14.546,14.256,13.942,13.672,13.444,13.41,15.363,14.731,14.439,14.368,14.386,14.391,14.618,14.005,14.398,14.615,14.009,4356000000
7000,8.477,14.124,-0.124,14.043,14.608,14.249,14.007,13.737,13.521,13.321,13.307,14.872,14.385,14.18,14.149,14.196,14.118,14.294,13.79,14.125,14.29,13.794,3714000000
7500,8.476,13.822,-0.163,13.655,14.289,13.985,13.782,13.55,13.387,13.216,13.217,14.486,14.085,13.947,13.95,14.024,13.873,14.01,13.594,13.881,14.006,13.598,3169000000
8000,8.475,13.539,-0.205,13.336,14.008,13.743,13.574,13.376,13.264,13.121,13.135,14.167,13.817,13.732,13.765,13.863,13.649,13.756,13.413,13.657,13.752,13.417,2683000000
8500,8.474,13.272,-0.247,13.062,13.756,13.519,13.381,13.214,13.149,13.034,13.057,13.895,13.574,13.532,13.592,13.713,13.442,13.524,13.244,13.45,13.52,13.247,2261000000
9000,8.473,13.021,-0.288,12.823,13.527,13.309,13.199,13.062,13.042,12.953,12.984,13.657,13.35,13.344,13.43,13.573,13.249,13.31,13.085,13.256,13.306,13.088,1902000000
9500,8.471,12.784,-0.327,12.607,13.315,13.111,13.028,12.919,12.942,12.875,12.913,13.443,13.142,13.168,13.277,13.442,13.067,13.111,12.937,13.075,13.107,12.939,1594000000
10000,8.47,12.558,-0.367,12.41,13.119,12.925,12.868,12.786,12.849,12.803,12.846,13.246,12.948,13.003,13.135,13.321,12.898,12.925,12.798,12.905,12.921,12.8,1325000000
10500,8.469,12.343,-0.411,12.229,12.939,12.754,12.722,12.665,12.763,12.735,12.784,13.066,12.771,12.853,13.005,13.211,12.742,12.755,12.673,12.749,12.75,12.675,1104000000
11000,8.468,12.138,-0.466,12.066,12.781,12.604,12.594,12.561,12.688,12.676,12.728,12.904,12.614,12.722,12.893,13.117,12.605,12.605,12.564,12.613,12.6,12.566,961200000
11500,8.467,11.942,-0.537,11.922,12.645,12.478,12.488,12.475,12.625,12.624,12.68,12.761,12.481,12.612,12.8,13.038,12.49,12.478,12.473,12.497,12.473,12.475,855000000
12000,8.465,11.754,-0.618,11.794,12.527,12.372,12.398,12.401,12.57,12.578,12.637,12.633,12.367,12.518,12.721,12.971,12.391,12.368,12.397,12.398,12.363,12.398,764100000
12500,8.464,11.574,-0.708,11.682,12.426,12.282,12.322,12.34,12.524,12.539,12.6,12.522,12.269,12.44,12.656,12.914,12.307,12.274,12.332,12.314,12.269,12.333,685200000
13000,8.463,11.401,-0.809,11.592,12.344,12.21,12.261,12.292,12.487,12.507,12.57,12.432,12.19,12.377,12.604,12.87,12.239,12.198,12.281,12.247,12.193,12.281,616100000
13500,8.462,11.234,-0.919,11.52,12.278,12.154,12.215,12.254,12.457,12.481,12.544,12.361,12.127,12.328,12.564,12.834,12.186,12.138,12.241,12.193,12.133,12.241,555200000
14000,8.461,11.074,-1.024,11.446,12.212,12.098,12.168,12.216,12.426,12.454,12.518,12.287,12.063,12.279,12.524,12.799,12.133,12.078,12.2,12.14,12.073,12.2,501900000
14500,8.46,10.919,-1.12,11.364,12.139,12.039,12.116,12.174,12.392,12.425,12.489,12.205,11.995,12.226,12.479,12.759,12.075,12.013,12.155,12.082,12.008,12.156,455300000
