#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
15000,8.459,10.769,-1.21,11.277,12.065,11.979,12.063,12.13,12.356,12.393,12.459,12.118,11.925,12.171,12.433,12.717,12.014,11.945,12.108,12.022,11.94,12.108,414400000
15500,8.458,10.624,-1.297,11.188,11.991,11.921,12.011,12.085,12.32,12.361,12.428,12.03,11.856,12.117,12.386,12.674,11.955,11.879,12.061,11.962,11.874,12.06,378200000
16000,8.457,10.483,-1.382,11.1,11.919,11.865,11.959,12.04,12.283,12.328,12.396,11.941,11.79,12.064,12.339,12.631,11.897,11.814,12.013,11.904,11.809,12.013,345800000
16500,8.456,10.347,-1.464,11.013,11.851,11.812,11.909,11.996,12.246,12.295,12.365,11.855,11.727,12.013,12.293,12.589,11.841,11.751,11.966,11.848,11.746,11.966,316800000
17000,8.455,10.215,-1.545,10.929,11.784,11.76,11.86,11.952,12.21,12.262,12.334,11.77,11.666,11.963,12.248,12.547,11.786,11.691,11.92,11.793,11.685,11.92,290600000
20000,8.449,9.494,-1.98,10.467,11.426,11.474,11.589,11.706,12.002,12.071,12.152,11.309,11.334,11.686,11.996,12.308,11.484,11.358,11.664,11.492,11.352,11.663,179000000
25000,8.439,8.5,-2.559,9.835,10.925,11.059,11.193,11.341,11.688,11.778,11.874,10.677,10.866,11.283,11.622,11.953,11.049,10.882,11.286,11.058,10.876,11.285,83790000
30000,8.429,7.683,-2.983,9.274,10.462,10.666,10.811,10.982,11.368,11.476,11.583,10.116,10.429,10.896,11.258,11.602,10.635,10.437,10.917,10.645,10.43,10.916,36490000
35000,8.411,6.969,-3.366,8.841,10.084,10.335,10.484,10.665,11.069,11.185,11.291,9.683,10.067,10.566,10.939,11.288,10.286,10.07,10.594,10.297,10.063,10.593,16150000
40000,8.399,6.36,-3.765,8.58,9.85,10.125,10.276,10.464,10.875,10.994,11.1,9.423,9.842,10.357,10.736,11.088,10.068,9.842,10.389,10.079,9.835,10.388,5554000
45000,8.388,5.821,-4.146,8.391,9.677,9.967,10.12,10.311,10.727,10.848,10.952,9.233,9.674,10.199,10.583,10.936,9.904,9.672,10.234,9.916,9.665,10.234,2725000
50000,8.377,5.334,-4.499,8.235,9.533,9.833,9.988,10.182,10.6,10.722,10.827,9.077,9.534,10.067,10.453,10.807,9.767,9.531,10.103,9.779,9.523,10.103,1685000
55000,8.366,4.893,-4.825,8.102,9.409,9.718,9.873,10.069,10.49,10.613,10.717,8.945,9.413,9.952,10.34,10.695,9.648,9.409,9.989,9.66,9.401,9.989,1188000
60000,8.354,4.485,-5.125,7.981,9.294,9.61,9.766,9.964,10.386,10.51,10.614,8.824,9.3,9.844,10.234,10.59,9.538,9.295,9.883,9.55,9.288,9.883,906100
65000,8.342,4.109,-5.402,7.871,9.19,9.511,9.668,9.867,10.291,10.416,10.519,8.714,9.198,9.746,10.137,10.494,9.437,9.192,9.786,9.449,9.185,9.786,726000
70000,8.33,3.757,-5.66,7.767,9.09,9.417,9.575,9.775,10.2,10.325,10.428,8.609,9.1,9.652,10.045,10.401,9.341,9.094,9.692,9.353,9.087,9.692,607700
75000,8.317,3.425,-5.901,7.667,8.995,9.326,9.484,9.686,10.112,10.237,10.34,8.51,9.006,9.561,9.955,10.312,9.248,9,9.602,9.261,8.992,9.602,531100
80000,8.306,3.117,-6.125,7.576,8.908,9.242,9.401,9.604,10.031,10.156,10.259,8.419,8.92,9.478,9.873,10.23,9.163,8.913,9.52,9.176,8.906,9.52,473200
85000,8.294,2.822,-6.337,7.486,8.821,9.159,9.318,9.521,9.949,10.075,10.178,8.329,8.834,9.394,9.79,10.148,9.078,8.827,9.437,9.091,8.82,9.437,425400
90000,8.28,2.54,-6.535,7.397,8.735,9.075,9.235,9.439,9.868,9.994,10.097,8.24,8.749,9.311,9.708,10.067,8.994,8.742,9.355,9.007,8.734,9.355,385100
100000,8.252,2.013,-6.9,7.225,8.567,8.913,9.073,9.279,9.709,9.836,9.938,8.068,8.583,9.149,9.548,9.907,8.83,8.575,9.194,8.843,8.568,9.194,318300
