#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
18000,8.484,10.041,-1.593,10.448,11.532,11.634,11.7,11.774,12.073,12.163,12.247,11.283,11.464,11.798,12.082,12.364,11.593,11.46,11.731,11.602,11.454,11.731,270600000
19000,8.483,9.803,-1.715,10.319,11.412,11.517,11.593,11.673,11.975,12.07,12.156,11.154,11.345,11.69,11.979,12.265,11.48,11.342,11.629,11.489,11.336,11.629,230700000
20000,8.482,9.577,-1.841,10.205,11.306,11.418,11.502,11.588,11.893,11.991,12.077,11.04,11.242,11.598,11.893,12.181,11.383,11.239,11.542,11.392,11.233,11.542,197500000
21000,8.481,9.362,-1.972,10.104,11.215,11.334,11.425,11.517,11.825,11.926,12.012,10.939,11.153,11.52,11.82,12.112,11.3,11.151,11.47,11.309,11.145,11.47,169700000
22000,8.479,9.157,-2.107,10.017,11.137,11.264,11.361,11.459,11.771,11.874,11.961,10.853,11.077,11.455,11.761,12.056,11.23,11.076,11.411,11.24,11.07,11.41,146200000
23000,8.478,8.96,-2.249,9.948,11.075,11.209,11.312,11.414,11.73,11.836,11.922,10.784,11.018,11.404,11.715,12.013,11.176,11.018,11.365,11.185,11.012,11.364,126200000
24000,8.477,8.772,-2.4,9.901,11.033,11.172,11.278,11.384,11.703,11.81,11.897,10.737,10.978,11.37,11.684,11.984,11.139,10.978,11.333,11.148,10.972,11.332,108900000
25000,8.476,8.592,-2.555,9.868,11.003,11.146,11.254,11.363,11.684,11.791,11.878,10.705,10.949,11.345,11.661,11.963,11.113,10.949,11.311,11.122,10.943,11.31,93890000
26000,8.474,8.418,-2.701,9.833,10.972,11.119,11.229,11.34,11.664,11.771,11.858,10.67,10.919,11.32,11.638,11.941,11.085,10.92,11.288,11.094,10.914,11.287,80740000
27000,8.473,8.251,-2.835,9.791,10.933,11.085,11.198,11.313,11.639,11.747,11.835,10.628,10.882,11.288,11.61,11.915,11.051,10.883,11.259,11.061,10.877,11.258,69200000
28000,8.471,8.089,-2.957,9.74,10.888,11.046,11.162,11.281,11.611,11.72,11.808,10.577,10.838,11.251,11.577,11.884,11.011,10.84,11.226,11.021,10.834,11.225,59050000
29000,8.47,7.933,-3.069,9.683,10.837,11.002,11.122,11.245,11.58,11.69,11.779,10.52,10.789,11.21,11.54,11.85,10.967,10.792,11.189,10.976,10.786,11.188,50100000
30000,8.469,7.783,-3.172,9.621,10.782,10.955,11.078,11.207,11.546,11.658,11.747,10.459,10.737,11.166,11.5,11.813,10.919,10.74,11.149,10.929,10.734,11.148,42200000
31000,8.464,7.629,-3.27,9.549,10.718,10.899,11.025,11.159,11.503,11.617,11.707,10.388,10.676,11.113,11.45,11.766,10.862,10.679,11.099,10.872,10.673,11.098,36910000
32000,8.463,7.487,-3.362,9.483,10.66,10.849,10.978,11.116,11.465,11.58,11.671,10.321,10.62,11.064,11.406,11.724,10.81,10.623,11.055,10.82,10.617,11.054,30050000
33000,8.461,7.349,-3.449,9.416,10.601,10.798,10.929,11.071,11.425,11.542,11.634,10.254,10.564,11.015,11.36,11.681,10.758,10.567,11.009,10.768,10.561,11.008,24520000
34000,8.459,7.215,-3.533,9.35,10.543,10.748,10.881,11.027,11.386,11.504,11.597,10.189,10.509,10.966,11.315,11.638,10.706,10.512,10.963,10.716,10.506,10.962,20130000
35000,8.457,7.085,-3.614,9.286,10.487,10.7,10.834,10.983,11.346,11.466,11.561,10.125,10.456,10.919,11.27,11.595,10.655,10.458,10.918,10.666,10.452,10.917,16700000
36000,8.456,6.959,-3.691,9.221,10.431,10.65,10.787,10.939,11.307,11.428,11.524,10.06,10.402,10.871,11.225,11.552,10.605,10.404,10.873,10.615,10.397,10.872,14040000
37000,8.455,6.837,-3.766,9.159,10.376,10.602,10.741,10.896,11.268,11.391,11.488,9.998,10.349,10.824,11.181,11.51,10.555,10.351,10.829,10.565,10.344,10.828,11990000
38000,8.453,6.717,-3.837,9.096,10.321,10.554,10.694,10.853,11.229,11.353,11.452,9.936,10.297,10.777,11.137,11.468,10.505,10.298,10.784,10.516,10.291,10.784,10430000
39000,8.451,6.6,-3.906,9.034,10.267,10.506,10.648,10.809,11.19,11.315,11.415,9.874,10.244,10.73,11.092,11.425,10.455,10.245,10.74,10.466,10.238,10.739,9269000
40000,8.449,6.485,-3.971,8.972,10.211,10.457,10.6,10.765,11.15,11.276,11.378,9.812,10.191,10.682,11.047,11.382,10.405,10.192,10.695,10.415,10.185,10.694,8380000
42500,8.445,6.211,-4.116,8.804,10.065,10.327,10.475,10.646,11.042,11.171,11.277,9.644,10.051,10.556,10.926,11.265,10.27,10.049,10.573,10.281,10.042,10.573,6881000
45000,8.442,5.955,-4.246,8.644,9.924,10.201,10.354,10.533,10.94,11.074,11.184,9.485,9.915,10.434,10.811,11.155,10.141,9.912,10.458,10.152,9.905,10.457,5913000
47500,8.439,5.713,-4.319,8.43,9.736,10.033,10.193,10.383,10.805,10.945,11.06,9.271,9.735,10.271,10.657,11.009,9.969,9.729,10.305,9.98,9.722,10.304,5247000
50000,8.436,5.484,-4.354,8.191,9.519,9.838,9.993,10.185,10.615,10.751,10.864,9.032,9.526,10.071,10.457,10.812,9.763,9.517,10.108,9.775,9.51,10.107,4771000
