#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,8.502,17.52,-1.081,20.703,20.052,18.601,17.67,16.777,15.78,15.312,15.233,21.547,19.395,18.033,17.395,17.01,17.878,18.8,16.964,17.882,18.797,16.967,8688000000
3500,8.502,17.198,-0.864,19.875,19.375,18.062,17.223,16.409,15.528,15.113,15.044,20.718,18.776,17.556,17,16.674,17.442,18.262,16.582,17.447,18.259,16.586,8514000000
3750,8.502,16.898,-0.674,19.116,18.757,17.572,16.818,16.079,15.304,14.938,14.888,19.957,18.21,17.124,16.643,16.373,17.043,17.769,16.236,17.048,17.765,16.241,8333000000
4000,8.502,16.618,-0.525,18.446,18.212,17.142,16.463,15.792,15.11,14.784,14.739,19.285,17.712,16.746,16.333,16.111,16.688,17.332,15.935,16.694,17.329,15.94,8131000000
4250,8.502,16.354,-0.405,17.847,17.726,16.759,16.145,15.535,14.935,14.642,14.596,18.684,17.267,16.409,16.055,15.877,16.367,16.938,15.664,16.374,16.935,15.67,7901000000
4500,8.502,16.106,-0.315,17.323,17.3,16.42,15.861,15.303,14.774,14.509,14.463,18.159,16.876,16.109,15.806,15.664,16.077,16.588,15.42,16.084,16.585,15.426,7651000000
4750,8.502,15.87,-0.243,16.854,16.916,16.114,15.603,15.092,14.627,14.388,14.341,17.688,16.522,15.837,15.58,15.471,15.812,16.27,15.199,15.819,16.267,15.205,7367000000
5000,8.502,15.647,-0.188,16.422,16.564,15.835,15.369,14.903,14.497,14.28,14.23,17.255,16.199,15.591,15.376,15.298,15.569,15.978,14.999,15.576,15.975,15.005,7080000000
5250,8.502,15.435,-0.149,16.031,16.247,15.584,15.158,14.731,14.377,14.178,14.123,16.863,15.907,15.369,15.192,15.141,15.348,15.712,14.818,15.355,15.709,14.824,6753000000
5500,8.501,15.232,-0.123,15.683,15.962,15.356,14.964,14.572,14.262,14.079,14.018,16.514,15.643,15.166,15.021,14.993,15.144,15.471,14.65,15.151,15.468,14.656,6296000000
5750,8.501,15.038,-0.107,15.364,15.7,15.145,14.785,14.424,14.155,13.986,13.923,16.195,15.4,14.978,14.863,14.857,14.953,15.247,14.494,14.961,15.244,14.5,5758000000
6000,8.501,14.852,-0.098,15.069,15.458,14.951,14.619,14.287,14.056,13.901,13.836,15.899,15.176,14.805,14.718,14.731,14.777,15.039,14.35,14.784,15.036,14.356,5284000000
6250,8.5,14.674,-0.097,14.796,15.234,14.77,14.465,14.161,13.964,13.822,13.758,15.626,14.968,14.645,14.582,14.614,14.612,14.846,14.217,14.619,14.843,14.222,4819000000
6500,8.5,14.502,-0.101,14.545,15.026,14.603,14.322,14.042,13.876,13.746,13.686,15.375,14.776,14.495,14.456,14.504,14.458,14.666,14.091,14.465,14.663,14.097,4383000000
6750,8.499,14.337,-0.11,14.313,14.834,14.447,14.186,13.929,13.793,13.675,13.62,15.143,14.597,14.355,14.336,14.399,14.312,14.497,13.973,14.319,14.494,13.978,4006000000
7000,8.499,14.178,-0.122,14.097,14.654,14.3,14.06,13.824,13.714,13.608,13.559,14.927,14.429,14.223,14.224,14.301,14.175,14.339,13.862,14.183,14.336,13.867,3690000000
7500,8.498,13.877,-0.157,13.708,14.329,14.034,13.829,13.63,13.569,13.483,13.446,14.537,14.125,13.983,14.019,14.12,13.925,14.051,13.658,13.932,14.048,13.663,3175000000
8000,8.497,13.595,-0.202,13.366,14.042,13.797,13.621,13.454,13.434,13.368,13.344,14.196,13.856,13.768,13.833,13.956,13.699,13.794,13.473,13.706,13.79,13.478,2736000000
8500,8.497,13.33,-0.268,13.072,13.798,13.597,13.446,13.305,13.318,13.266,13.254,13.903,13.628,13.588,13.676,13.816,13.507,13.576,13.318,13.515,13.572,13.323,2349000000
9000,8.496,13.08,-0.324,12.8,13.567,13.404,13.275,13.16,13.206,13.17,13.169,13.631,13.41,13.411,13.523,13.679,13.321,13.366,13.165,13.329,13.362,13.17,2007000000
9500,8.495,12.843,-0.388,12.556,13.36,13.231,13.123,13.03,13.106,13.084,13.094,13.387,13.215,13.254,13.386,13.558,13.154,13.178,13.029,13.162,13.174,13.034,1709000000
10000,8.495,12.619,-0.459,12.335,13.175,13.078,12.988,12.915,13.017,13.008,13.027,13.166,13.041,13.115,13.265,13.45,13.005,13.009,12.908,13.012,13.005,12.913,1450000000
11000,8.493,12.202,-0.612,11.954,12.856,12.813,12.755,12.714,12.858,12.868,12.901,12.786,12.74,12.875,13.054,13.26,12.745,12.717,12.698,12.753,12.712,12.702,1037000000
12000,8.492,11.82,-0.772,11.636,12.59,12.592,12.561,12.547,12.728,12.756,12.801,12.468,12.489,12.676,12.879,13.103,12.528,12.472,12.524,12.536,12.467,12.527,808000000
13000,8.49,11.469,-0.93,11.367,12.362,12.399,12.391,12.4,12.613,12.655,12.709,12.199,12.273,12.502,12.725,12.965,12.338,12.26,12.371,12.346,12.255,12.374,659100000
14000,8.489,11.144,-1.081,11.135,12.162,12.225,12.237,12.265,12.504,12.559,12.62,11.968,12.082,12.344,12.585,12.837,12.167,12.071,12.231,12.176,12.066,12.234,542900000
15000,8.488,10.842,-1.222,10.932,11.982,12.064,12.092,12.137,12.398,12.463,12.531,11.766,11.908,12.196,12.452,12.715,12.009,11.9,12.099,12.018,11.894,12.101,450500000
16000,8.487,10.558,-1.352,10.753,11.818,11.911,11.954,12.011,12.29,12.365,12.438,11.586,11.747,12.055,12.323,12.594,11.861,11.741,11.97,11.87,11.735,11.972,377300000
17000,8.486,10.292,-1.474,10.592,11.668,11.766,11.821,11.889,12.181,12.264,12.342,11.426,11.599,11.921,12.198,12.476,11.721,11.594,11.846,11.73,11.588,11.847,318600000
