#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,8.355,17.278,-1.063,20.433,19.787,18.341,17.414,16.524,15.531,15.073,15.042,21.277,19.133,17.776,17.141,16.758,17.622,18.541,16.711,17.626,18.537,16.713,9194000000
3500,8.355,16.956,-0.848,19.607,19.112,17.804,16.969,16.157,15.28,14.877,14.856,20.45,18.515,17.3,16.747,16.423,17.188,18.004,16.329,17.193,18.001,16.333,8958000000
3750,8.355,16.656,-0.662,18.855,18.499,17.318,16.566,15.83,15.058,14.704,14.694,19.696,17.954,16.872,16.393,16.124,16.791,17.515,15.987,16.797,17.511,15.991,8714000000
4000,8.354,16.376,-0.517,18.191,17.96,16.893,16.214,15.545,14.865,14.548,14.534,19.03,17.461,16.498,16.085,15.864,16.44,17.082,15.687,16.446,17.079,15.693,8443000000
4250,8.354,16.112,-0.399,17.595,17.476,16.511,15.898,15.289,14.691,14.406,14.386,18.432,17.018,16.162,15.809,15.631,16.12,16.691,15.418,16.127,16.687,15.424,8151000000
4500,8.354,15.864,-0.31,17.076,17.053,16.174,15.614,15.057,14.529,14.273,14.251,17.911,16.629,15.863,15.56,15.418,15.831,16.342,15.175,15.838,16.339,15.18,7844000000
4750,8.354,15.628,-0.239,16.604,16.668,15.867,15.357,14.847,14.385,14.153,14.125,17.438,16.274,15.591,15.335,15.227,15.566,16.023,14.954,15.573,16.02,14.96,7487000000
5000,8.354,15.405,-0.185,16.174,16.317,15.59,15.125,14.659,14.255,14.043,14.007,17.006,15.952,15.347,15.132,15.055,15.325,15.732,14.755,15.332,15.729,14.761,7104000000
5250,8.354,15.192,-0.147,15.786,16.002,15.339,14.914,14.488,14.134,13.938,13.893,16.618,15.662,15.125,14.948,14.897,15.104,15.468,14.574,15.111,15.465,14.58,6697000000
5500,8.353,14.989,-0.122,15.439,15.718,15.111,14.72,14.328,14.018,13.837,13.783,16.27,15.399,14.922,14.777,14.75,14.9,15.227,14.406,14.907,15.223,14.412,6083000000
5750,8.352,14.795,-0.106,15.12,15.455,14.901,14.54,14.18,13.911,13.744,13.684,15.95,15.156,14.734,14.619,14.613,14.709,15.003,14.25,14.716,14.999,14.256,5437000000
6000,8.352,14.608,-0.098,14.824,15.213,14.706,14.375,14.043,13.812,13.658,13.594,15.655,14.932,14.561,14.474,14.487,14.533,14.795,14.106,14.54,14.791,14.112,4894000000
