#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,126000000,0.090000004,0.09,-2.784,3.4296,4.846,0,0,0.545,0,0,-1,-2.63E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.729,13.222,15.588,11.928
0.008,126000000,0.093627244,0.094,-2.756,3.4331,4.85,0,0,0.545,0,0,-1,-2.74E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.659,13.114,15.445,11.826
0.008,126000000,0.100000002,0.1,-2.706,3.4397,4.854,0,0,0.545,0,0,-1,-2.96E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.534,12.916,15.185,11.641
0.008,126000000,0.10655465,0.107,-2.661,3.4454,4.86,0,0,0.545,0,0,-1,-3.16E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.422,12.746,14.953,11.481
0.008,126000000,0.117751494,0.118,-2.588,3.4548,4.868,0,0,0.545,0,0,-1,-3.52E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.24,12.481,14.549,11.238
0.008,126000000,0.120000005,0.12,-2.574,3.4566,4.869,0,0,0.545,0,0,-1,-3.6E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.205,12.43,14.47,11.191
0.008,126000000,0.127729699,0.128,-2.529,3.462,4.874,0,0,0.545,0,0,-1,-3.85E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.093,12.276,14.236,11.052
0.008,126000000,0.140000001,0.14,-2.461,3.4703,4.878,0,0,0.545,0,0,-1,-4.28E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.922,12.042,13.878,10.84
0.008,126000000,0.158973262,0.159,-2.371,3.4805,4.884,0,0,0.545,0,0,-1,-4.9E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.698,11.743,13.442,10.568
0.008,126000000,0.159999996,0.16,-2.366,3.481,4.885,0,0,0.545,0,0,-1,-4.94E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.686,11.727,13.419,10.553
0.008,126000000,0.19306244,0.193,-2.236,3.4945,4.889,0,0,0.545,0,0,-1,-6.05E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.359,11.302,12.834,10.166
0.008,126000000,0.200000003,0.2,-2.21,3.4971,4.889,0,0,0.545,0,0,-1,-6.31E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.294,11.219,12.723,10.09
0.008,126000000,0.25,0.25,-2.054,3.5116,4.888,0,0,0.545,0,0,-1,-8.08E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.905,10.73,12.092,9.641
0.008,126000000,0.255609512,0.256,-2.038,3.513,4.888,0,0,0.545,0,0,-1,-8.28E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.866,10.681,12.029,9.595
0.008,126000000,0.300000012,0.3,-1.92,3.5234,4.881,0,0,0.545,0,0,-1,-1.01E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.571,10.317,11.581,9.26
0.008,126000000,0.348540276,0.349,-1.795,3.5343,4.864,0,0,0.545,0,0,-1,-1.28E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.257,9.935,11.117,8.906
0.008,126000000,0.350000024,0.35,-1.791,3.5346,4.864,0,0,0.545,0,0,-1,-1.28E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.248,9.924,11.104,8.896
0.008,126000000,0.378520966,0.379,-1.709,3.5415,4.843,0,0,0.545,0,0,-1,-1.52E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.043,9.675,10.807,8.666
0.008,126000000,0.400000036,0.4,-1.649,3.5464,4.826,0,0,0.545,0,0,-1,-1.74E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.891,9.496,10.598,8.499
0.008,126000000,0.406283975,0.406,-1.628,3.5483,4.82,0,0,0.545,0,0,-1,-1.83E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.84,9.433,10.524,8.442
0.008,126000000,0.450000018,0.45,-1.493,3.5615,4.782,0,0,0.545,0,0,-1,-2.46E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.502,9.024,10.04,8.064
0.008,126000000,0.472817898,0.473,-1.413,3.5718,4.764,0,0,0.545,0,0,-1,-2.95E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.301,8.777,9.746,7.839
0.008,126000000,0.5,0.5,-1.323,3.5839,4.747,0,0,0.545,0,0,-1,-3.6E-15,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,8.077,8.519,9.465,7.589
0.008,126000000,0.515845358,0.516,-1.267,3.5937,4.744,0,0,0.545,0,0,-1,-4.05E-15,0,0.729,0.263,0.001439,0.000388,0.003519,-1,0.007998,7.937,8.299,9.147,7.419
0.008,126000000,0.546710074,0.546,-1.188,3.6056,4.738,0,0,0.545,0,0,-1,-4.75E-15,0,0.7291,0.2629,0.001438,0.0003879,0.003518,-1,0.007947,7.74,8.043,8.817,7.204
0.008,126000000,0.550000012,0.55,-1.179,3.6066,4.736,0,0,0.545,0,0,-1,-4.84E-15,0,0.7292,0.2629,0.001438,0.0003878,0.003517,-1,0.007943,7.719,8.018,8.787,7.181
0.008,126000000,0.573563516,0.573,-1.119,3.6155,4.73,0,0,0.545,0,0,-1,-5.48E-15,0,0.7292,0.2629,0.001438,0.0003878,0.003517,-1,0.007972,7.568,7.839,8.573,7.025
0.008,126000000,0.592655957,0.593,-1.071,3.6221,4.722,0,0,0.545,0,0,-1,-6.07E-15,0,0.7292,0.2628,0.001437,0.0003878,0.003517,-1,0.008,7.447,7.698,8.405,6.9
0.008,126000000,0.600000024,0.6,-1.047,3.6256,4.718,0,0,0.545,0,0,-1,-6.4E-15,0,0.7292,0.2628,0.001437,0.0003878,0.003517,-1,0.008,7.387,7.628,8.32,6.839
0.008,126000000,0.649999976,0.65,-0.885,3.6533,4.702,0,0,0.545,0,0,-1,-9.06E-15,0,0.7292,0.2628,0.001437,0.0003877,0.003516,-1,0.007989,6.984,7.124,7.713,6.408
0.008,126000000,0.700000048,0.7,-0.731,3.6802,4.687,0,0,0.545,0,0,-1,-1.27E-14,0,0.7293,0.2627,0.001437,0.0003876,0.003515,-1,0.007964,6.597,6.646,7.151,5.995
0.008,126000000,0.75,0.75,-0.589,3.7039,4.669,0,0,0.538,0,0,-1,-1.73E-14,0,0.7294,0.2626,0.001417,0.000387,0.003515,-1,0.008,6.242,6.228,6.67,5.63
