#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,178000000,0.090000004,0.09,-2.901,3.4246,4.944,0,0,0.545,0,0,-1,-1.8E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,12.023,13.558,16.015,12.254
0.008,178000000,0.090366587,0.09,-2.898,3.425,4.944,0,0,0.545,0,0,-1,-1.8E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,12.016,13.547,15.998,12.244
0.008,178000000,0.09692806,0.097,-2.841,3.4329,4.95,0,0,0.545,0,0,-1,-1.97E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.873,13.328,15.674,12.04
0.008,178000000,0.100000002,0.1,-2.814,3.4371,4.953,0,0,0.545,0,0,-1,-2.06E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.805,13.214,15.516,11.933
0.008,178000000,0.102811247,0.103,-2.794,3.4397,4.955,0,0,0.545,0,0,-1,-2.12E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.756,13.137,15.412,11.861
0.008,178000000,0.113159426,0.113,-2.723,3.449,4.962,0,0,0.545,0,0,-1,-2.37E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.576,12.868,15.023,11.611
0.008,178000000,0.120000005,0.12,-2.677,3.455,4.967,0,0,0.545,0,0,-1,-2.54E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.463,12.702,14.767,11.46
0.008,178000000,0.124184787,0.124,-2.652,3.4582,4.968,0,0,0.545,0,0,-1,-2.64E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.399,12.611,14.627,11.376
0.008,178000000,0.140000001,0.14,-2.557,3.4699,4.972,0,0,0.545,0,0,-1,-3.08E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.162,12.285,14.126,11.081
0.008,178000000,0.159999996,0.16,-2.456,3.4814,4.975,0,0,0.545,0,0,-1,-3.62E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.909,11.947,13.634,10.774
0.008,178000000,0.194293067,0.194,-2.311,3.4961,4.974,0,0,0.545,0,0,-1,-4.57E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.549,11.48,12.996,10.349
0.008,178000000,0.200000003,0.2,-2.289,3.4983,4.973,0,0,0.545,0,0,-1,-4.75E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.492,11.407,12.898,10.282
0.008,178000000,0.206166104,0.206,-2.266,3.5003,4.971,0,0,0.545,0,0,-1,-4.93E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.435,11.337,12.805,10.217
0.008,178000000,0.25,0.25,-2.112,3.5129,4.952,0,0,0.545,0,0,-1,-6.54E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.051,10.866,12.215,9.781
