#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
8000,9.031,14.616,-0.21,14.387,15.068,14.826,14.651,14.485,14.465,14.398,14.373,15.217,14.883,14.798,14.864,14.987,14.728,14.822,14.505,14.736,14.818,14.51,3001000000
8500,9.031,14.352,-0.282,14.098,14.831,14.634,14.484,14.343,14.353,14.3,14.286,14.928,14.663,14.625,14.714,14.853,14.544,14.611,14.355,14.551,14.607,14.36,2800000000
9000,9.03,14.103,-0.339,13.827,14.601,14.442,14.314,14.199,14.243,14.206,14.203,14.658,14.445,14.45,14.562,14.718,14.358,14.402,14.204,14.366,14.398,14.209,2602000000
9500,9.03,13.868,-0.4,13.583,14.393,14.268,14.16,14.068,14.142,14.119,14.127,14.414,14.249,14.291,14.424,14.595,14.19,14.212,14.067,14.198,14.208,14.071,2418000000
10000,9.03,13.645,-0.467,13.363,14.206,14.112,14.022,13.95,14.051,14.041,14.058,14.194,14.073,14.149,14.3,14.484,14.038,14.041,13.943,14.046,14.037,13.947,2248000000
11000,9.029,13.229,-0.615,12.983,13.886,13.845,13.786,13.746,13.889,13.899,13.932,13.815,13.771,13.906,14.086,14.292,13.776,13.747,13.73,13.784,13.743,13.734,1948000000
12000,9.029,12.85,-0.775,12.666,13.62,13.624,13.593,13.58,13.761,13.788,13.833,13.498,13.52,13.708,13.911,14.136,13.559,13.503,13.556,13.568,13.499,13.56,1691000000
13000,9.028,12.501,-0.934,12.398,13.395,13.435,13.427,13.435,13.648,13.69,13.744,13.23,13.307,13.538,13.76,14,13.373,13.294,13.406,13.381,13.289,13.409,1472000000
14000,9.028,12.178,-1.088,12.167,13.199,13.266,13.278,13.305,13.543,13.597,13.658,13,13.119,13.386,13.625,13.877,13.206,13.109,13.271,13.215,13.104,13.273,1287000000
15000,9.027,11.877,-1.234,11.965,13.024,13.111,13.14,13.182,13.443,13.507,13.573,12.799,12.951,13.245,13.498,13.76,13.054,12.943,13.145,13.063,12.937,13.147,1123000000
16000,9.027,11.595,-1.37,11.787,12.866,12.965,13.009,13.063,13.343,13.416,13.487,12.62,12.797,13.11,13.376,13.647,12.912,12.79,13.024,12.921,12.784,13.025,976600000
17000,9.026,11.331,-1.495,11.627,12.72,12.826,12.882,12.947,13.241,13.322,13.399,12.461,12.654,12.982,13.257,13.534,12.778,12.647,12.905,12.787,12.641,12.906,847800000
18000,9.026,11.081,-1.613,11.482,12.586,12.694,12.761,12.833,13.137,13.226,13.309,12.316,12.52,12.86,13.141,13.423,12.651,12.514,12.79,12.66,12.508,12.791,733900000
19000,9.025,10.845,-1.729,11.351,12.463,12.574,12.65,12.726,13.035,13.13,13.218,12.185,12.399,12.748,13.034,13.319,12.534,12.393,12.684,12.543,12.387,12.684,632300000
20000,9.024,10.62,-1.847,11.232,12.353,12.467,12.552,12.632,12.943,13.041,13.13,12.066,12.29,12.649,12.939,13.226,12.43,12.284,12.589,12.44,12.278,12.589,541800000
21000,9.024,10.407,-1.969,11.124,12.255,12.375,12.467,12.551,12.864,12.964,13.054,11.959,12.195,12.563,12.857,13.148,12.34,12.189,12.508,12.349,12.183,12.508,461800000
22000,9.023,10.203,-2.094,11.028,12.169,12.297,12.395,12.484,12.8,12.902,12.991,11.863,12.111,12.49,12.789,13.082,12.261,12.106,12.439,12.271,12.1,12.439,392200000
23000,9.022,10.009,-2.221,10.944,12.093,12.23,12.333,12.427,12.748,12.852,12.941,11.779,12.038,12.427,12.731,13.027,12.194,12.034,12.382,12.204,12.027,12.381,334600000
24000,9.022,9.822,-2.352,10.873,12.03,12.174,12.282,12.381,12.706,12.812,12.902,11.708,11.978,12.375,12.683,12.983,12.138,11.974,12.334,12.148,11.967,12.333,291700000
25000,9.021,9.644,-2.488,10.818,11.982,12.132,12.243,12.347,12.675,12.783,12.874,11.654,11.932,12.335,12.647,12.95,12.096,11.928,12.298,12.106,11.921,12.297,259900000
26000,9.021,9.472,-2.631,10.781,11.949,12.103,12.217,12.324,12.655,12.764,12.855,11.618,11.9,12.309,12.623,12.927,12.067,11.896,12.274,12.077,11.89,12.273,233700000
27000,9.02,9.306,-2.773,10.751,11.922,12.079,12.195,12.304,12.638,12.747,12.839,11.587,11.874,12.287,12.603,12.909,12.043,11.871,12.254,12.053,11.864,12.253,210300000
28000,9.019,9.147,-2.906,10.717,11.892,12.053,12.171,12.283,12.619,12.73,12.822,11.554,11.846,12.262,12.581,12.888,12.017,11.842,12.232,12.027,11.836,12.231,189500000
29000,9.019,8.993,-3.03,10.679,11.858,12.023,12.144,12.259,12.598,12.709,12.802,11.515,11.812,12.234,12.556,12.865,11.987,11.809,12.206,11.997,11.803,12.205,171200000
30000,9.018,8.844,-3.145,10.634,11.818,11.989,12.112,12.231,12.574,12.687,12.78,11.471,11.775,12.202,12.527,12.838,11.952,11.772,12.178,11.962,11.765,12.176,154800000
31000,9.012,8.686,-3.251,10.572,11.762,11.937,12.065,12.188,12.535,12.649,12.743,11.409,11.72,12.154,12.483,12.796,11.901,11.717,12.133,11.911,11.711,12.132,187900000
32000,9.011,8.546,-3.35,10.519,11.714,11.896,12.027,12.155,12.506,12.622,12.716,11.356,11.674,12.115,12.448,12.764,11.859,11.672,12.098,11.869,11.666,12.097,169600000
33000,9.01,8.41,-3.442,10.461,11.663,11.851,11.986,12.118,12.474,12.591,12.686,11.298,11.625,12.073,12.41,12.729,11.814,11.623,12.06,11.824,11.617,12.059,152900000
34000,9.009,8.277,-3.528,10.4,11.609,11.805,11.942,12.078,12.439,12.557,12.653,11.238,11.574,12.028,12.369,12.69,11.766,11.572,12.019,11.776,11.565,12.017,137700000
35000,9.007,8.148,-3.61,10.338,11.555,11.758,11.897,12.037,12.402,12.521,12.619,11.176,11.522,11.983,12.326,12.65,11.717,11.52,11.976,11.728,11.513,11.975,123600000
36000,9.006,8.023,-3.689,10.278,11.501,11.712,11.852,11.996,12.365,12.486,12.584,11.116,11.471,11.937,12.284,12.61,11.669,11.469,11.934,11.68,11.462,11.933,110700000
37000,9.005,7.902,-3.764,10.217,11.448,11.665,11.807,11.954,12.328,12.45,12.55,11.056,11.419,11.892,12.242,12.57,11.621,11.417,11.891,11.631,11.41,11.89,98970000
38000,9.005,7.784,-3.836,10.158,11.396,11.62,11.764,11.914,12.292,12.415,12.516,10.997,11.37,11.848,12.2,12.53,11.574,11.367,11.85,11.585,11.36,11.849,88420000
39000,9.004,7.669,-3.906,10.1,11.344,11.575,11.72,11.874,12.255,12.381,12.483,10.939,11.32,11.804,12.159,12.491,11.527,11.318,11.808,11.538,11.311,11.807,79010000
40000,9.003,7.556,-3.973,10.042,11.293,11.53,11.677,11.833,12.219,12.346,12.449,10.881,11.271,11.76,12.118,12.451,11.481,11.268,11.767,11.492,11.261,11.766,70630000
42500,9.001,7.288,-4.117,9.879,11.15,11.405,11.555,11.719,12.116,12.246,12.353,10.718,11.134,11.637,12.002,12.339,11.351,11.13,11.65,11.362,11.123,11.649,53330000
45000,8.999,7.034,-4.26,9.74,11.025,11.294,11.449,11.62,12.026,12.16,12.271,10.579,11.014,11.53,11.9,12.243,11.237,11.009,11.549,11.248,11.002,11.548,40020000
47500,8.997,6.795,-4.37,9.577,10.88,11.164,11.325,11.505,11.922,12.061,12.176,10.417,10.875,11.405,11.782,12.13,11.104,10.869,11.431,11.116,10.861,11.43,29610000
50000,8.995,6.568,-4.412,9.347,10.673,10.98,11.144,11.333,11.764,11.906,12.023,10.187,10.676,11.222,11.607,11.961,10.912,10.667,11.257,10.925,10.66,11.255,21460000
