#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,9.032,18.532,-1.161,21.846,21.168,19.693,18.747,17.841,16.825,16.324,16.062,22.689,20.501,19.115,18.464,18.07,18.952,19.892,18.031,18.956,19.888,18.033,5201000000
3500,9.032,18.21,-0.918,20.979,20.459,19.128,18.278,17.455,16.559,16.114,15.9,21.822,19.852,18.614,18.048,17.716,18.496,19.328,17.629,18.501,19.325,17.633,5157000000
3750,9.032,17.911,-0.718,20.207,19.83,18.629,17.865,17.118,16.33,15.935,15.764,21.049,19.277,18.174,17.685,17.408,18.089,18.827,17.277,18.095,18.823,17.281,5102000000
4000,9.032,17.63,-0.562,19.534,19.281,18.192,17.5,16.819,16.125,15.774,15.629,20.374,18.774,17.787,17.363,17.135,17.726,18.383,16.964,17.732,18.38,16.969,5031000000
4250,9.032,17.367,-0.424,18.898,18.766,17.791,17.172,16.558,15.953,15.64,15.52,19.735,18.304,17.437,17.08,16.899,17.395,17.971,16.688,17.401,17.968,16.694,4951000000
4500,9.032,17.119,-0.327,18.36,18.33,17.446,16.885,16.326,15.795,15.513,15.402,19.195,17.904,17.134,16.83,16.687,17.102,17.615,16.444,17.109,17.612,16.45,4868000000
4750,9.032,16.884,-0.254,17.882,17.941,17.138,16.626,16.115,15.647,15.391,15.285,18.716,17.547,16.861,16.603,16.494,16.836,17.294,16.222,16.843,17.291,16.228,4784000000
5000,9.032,16.661,-0.199,17.459,17.595,16.86,16.39,15.92,15.509,15.278,15.183,18.292,17.227,16.613,16.395,16.314,16.591,17.004,16.018,16.599,17,16.024,4690000000
5250,9.032,16.449,-0.156,17.068,17.275,16.605,16.175,15.745,15.387,15.179,15.093,17.9,16.932,16.387,16.206,16.153,16.366,16.735,15.832,16.373,16.732,15.838,4588000000
5500,9.032,16.247,-0.126,16.707,16.982,16.373,15.98,15.587,15.276,15.088,15.007,17.538,16.662,16.182,16.037,16.009,16.16,16.489,15.665,16.167,16.485,15.671,4464000000
5750,9.032,16.053,-0.109,16.382,16.717,16.162,15.802,15.441,15.172,14.999,14.922,17.212,16.418,15.995,15.881,15.874,15.971,16.264,15.511,15.978,16.261,15.517,4304000000
6000,9.032,15.868,-0.1,16.087,16.476,15.968,15.636,15.304,15.072,14.915,14.843,16.917,16.194,15.823,15.735,15.748,15.794,16.057,15.367,15.802,16.054,15.373,4148000000
6250,9.032,15.691,-0.098,15.815,16.253,15.789,15.483,15.178,14.98,14.837,14.77,16.645,15.987,15.662,15.6,15.631,15.63,15.864,15.234,15.637,15.861,15.24,3986000000
6500,9.032,15.52,-0.102,15.563,16.045,15.622,15.34,15.06,14.895,14.764,14.703,16.393,15.795,15.514,15.474,15.522,15.476,15.685,15.11,15.484,15.682,15.116,3801000000
6750,9.031,15.355,-0.112,15.33,15.853,15.467,15.208,14.951,14.815,14.697,14.641,16.16,15.616,15.376,15.358,15.421,15.333,15.518,14.994,15.34,15.514,15,3615000000
7000,9.031,15.197,-0.126,15.114,15.675,15.323,15.083,14.847,14.738,14.631,14.581,15.944,15.45,15.246,15.248,15.325,15.198,15.361,14.885,15.205,15.358,14.891,3454000000
7500,9.031,14.897,-0.163,14.727,15.353,15.06,14.855,14.656,14.595,14.509,14.472,15.557,15.149,15.009,15.045,15.147,14.95,15.076,14.685,14.958,15.072,14.69,3204000000
