#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
5250,8.639,15.664,-0.179,16.799,16.652,15.843,15.377,14.911,14.459,14.166,14.085,17.637,16.243,15.599,15.385,15.302,15.587,16.016,15.007,15.594,16.013,15.013,8023000000
5500,8.638,15.46,-0.136,16.322,16.31,15.596,15.172,14.743,14.336,14.051,13.975,17.156,15.941,15.384,15.206,15.147,15.368,15.748,14.831,15.375,15.745,14.837,7303000000
6000,8.636,15.076,-0.089,15.483,15.722,15.165,14.815,14.449,14.12,13.866,13.809,16.311,15.419,15.011,14.892,14.876,14.98,15.276,14.523,14.987,15.273,14.529,5536000000
6500,8.634,14.725,-0.09,14.818,15.257,14.815,14.525,14.211,13.944,13.718,13.684,15.646,15.001,14.708,14.637,14.655,14.661,14.889,14.274,14.668,14.885,14.278,4765000000
7000,8.633,14.401,-0.119,14.317,14.88,14.519,14.278,14.007,13.794,13.596,13.581,15.146,14.656,14.451,14.419,14.467,14.389,14.565,14.061,14.396,14.561,14.065,4157000000
7500,8.632,14.099,-0.159,13.925,14.561,14.258,14.056,13.823,13.661,13.491,13.492,14.756,14.358,14.22,14.223,14.297,14.147,14.283,13.868,14.154,14.279,13.872,3647000000
8000,8.632,13.816,-0.203,13.604,14.283,14.019,13.851,13.652,13.54,13.397,13.411,14.435,14.093,14.008,14.041,14.139,13.925,14.031,13.689,13.933,14.027,13.693,3212000000
8500,8.631,13.551,-0.247,13.329,14.033,13.798,13.659,13.491,13.427,13.311,13.334,14.162,13.853,13.811,13.87,13.99,13.72,13.802,13.522,13.728,13.798,13.525,2823000000
9000,8.63,13.3,-0.29,13.089,13.807,13.59,13.48,13.341,13.321,13.23,13.262,13.923,13.632,13.626,13.709,13.852,13.529,13.59,13.365,13.537,13.586,13.368,2472000000
9500,8.629,13.063,-0.332,12.873,13.598,13.395,13.31,13.199,13.222,13.153,13.192,13.708,13.427,13.452,13.558,13.722,13.35,13.393,13.218,13.357,13.389,13.22,2166000000
10000,8.628,12.838,-0.373,12.676,13.404,13.211,13.152,13.067,13.13,13.081,13.125,13.512,13.235,13.288,13.416,13.601,13.182,13.209,13.08,13.189,13.205,13.083,1898000000
10500,8.627,12.624,-0.417,12.494,13.226,13.041,13.006,12.946,13.044,13.013,13.062,13.331,13.059,13.138,13.287,13.491,13.027,13.04,12.955,13.034,13.035,12.957,1660000000
11000,8.626,12.419,-0.47,12.33,13.067,12.89,12.877,12.84,12.969,12.952,13.005,13.167,12.902,13.005,13.173,13.394,12.889,12.889,12.844,12.896,12.884,12.846,1443000000
11500,8.625,12.224,-0.538,12.184,12.93,12.762,12.768,12.751,12.904,12.899,12.956,13.022,12.768,12.893,13.077,13.313,12.772,12.76,12.752,12.779,12.755,12.753,1249000000
12000,8.624,12.036,-0.617,12.053,12.812,12.654,12.677,12.676,12.848,12.853,12.912,12.892,12.653,12.798,12.997,13.244,12.671,12.649,12.673,12.679,12.644,12.674,1079000000
12500,8.623,11.857,-0.703,11.936,12.706,12.56,12.597,12.611,12.799,12.811,12.873,12.775,12.551,12.716,12.927,13.185,12.583,12.551,12.605,12.591,12.546,12.606,932600000
13000,8.622,11.684,-0.799,11.839,12.619,12.482,12.532,12.559,12.759,12.777,12.84,12.678,12.466,12.648,12.871,13.136,12.511,12.47,12.549,12.518,12.464,12.55,811000000
13500,8.621,11.518,-0.906,11.763,12.551,12.424,12.482,12.519,12.728,12.75,12.814,12.603,12.401,12.597,12.829,13.099,12.455,12.407,12.507,12.463,12.402,12.507,722200000
14000,8.62,11.358,-1.012,11.693,12.487,12.369,12.437,12.482,12.698,12.724,12.789,12.532,12.34,12.549,12.79,13.065,12.404,12.349,12.468,12.411,12.344,12.468,654700000
14500,8.62,11.203,-1.111,11.619,12.421,12.315,12.39,12.444,12.668,12.697,12.763,12.459,12.277,12.501,12.75,13.029,12.35,12.289,12.427,12.358,12.284,12.428,595400000
15000,8.619,11.054,-1.204,11.539,12.352,12.258,12.341,12.404,12.635,12.669,12.736,12.38,12.212,12.45,12.707,12.991,12.295,12.227,12.384,12.302,12.221,12.384,542800000
15500,8.618,10.91,-1.292,11.456,12.281,12.202,12.29,12.361,12.6,12.638,12.707,12.296,12.146,12.398,12.663,12.951,12.237,12.162,12.339,12.245,12.157,12.339,496000000
16000,8.617,10.769,-1.377,11.371,12.211,12.146,12.24,12.318,12.565,12.607,12.677,12.212,12.08,12.346,12.617,12.91,12.181,12.099,12.293,12.188,12.093,12.293,454500000
16500,8.616,10.634,-1.459,11.287,12.143,12.093,12.19,12.275,12.53,12.575,12.647,12.127,12.017,12.295,12.573,12.868,12.125,12.037,12.248,12.132,12.031,12.247,417400000
17000,8.615,10.502,-1.539,11.204,12.076,12.041,12.142,12.232,12.494,12.544,12.617,12.044,11.956,12.245,12.528,12.827,12.071,11.976,12.203,12.078,11.971,12.202,384200000
20000,8.61,9.784,-1.974,10.747,11.719,11.758,11.874,11.99,12.289,12.356,12.439,11.588,11.626,11.971,12.279,12.593,11.771,11.646,11.949,11.78,11.64,11.949,240500000
25000,8.602,8.795,-2.554,10.121,11.221,11.349,11.483,11.63,11.98,12.069,12.166,10.963,11.161,11.574,11.912,12.243,11.34,11.175,11.577,11.35,11.168,11.576,120900000
30000,8.594,7.982,-2.978,9.566,10.761,10.96,11.107,11.277,11.665,11.772,11.879,10.408,10.727,11.192,11.552,11.897,10.931,10.733,11.213,10.941,10.727,11.212,62190000
35000,8.579,7.275,-3.364,9.143,10.39,10.638,10.788,10.969,11.374,11.489,11.596,9.985,10.374,10.87,11.242,11.592,10.591,10.375,10.898,10.603,10.368,10.898,35660000
40000,8.569,6.671,-3.764,8.89,10.163,10.435,10.587,10.774,11.187,11.305,11.411,9.732,10.155,10.668,11.046,11.398,10.379,10.154,10.7,10.391,10.147,10.699,15450000
45000,8.56,6.136,-4.146,8.706,9.994,10.282,10.436,10.626,11.043,11.164,11.269,9.548,9.991,10.515,10.898,11.251,10.221,9.989,10.55,10.232,9.981,10.549,5478000
50000,8.551,5.656,-4.5,8.557,9.856,10.155,10.31,10.504,10.923,11.045,11.15,9.399,9.857,10.389,10.775,11.129,10.09,9.854,10.425,10.102,9.846,10.425,2373000
55000,8.542,5.219,-4.826,8.429,9.737,10.045,10.201,10.396,10.818,10.941,11.046,9.272,9.741,10.279,10.667,11.022,9.976,9.736,10.317,9.988,9.729,10.317,1371000
60000,8.533,4.818,-5.127,8.316,9.63,9.945,10.102,10.299,10.723,10.847,10.951,9.158,9.636,10.179,10.569,10.925,9.874,9.631,10.219,9.886,9.624,10.218,960000
65000,8.524,4.449,-5.405,8.213,9.534,9.854,10.011,10.211,10.636,10.76,10.864,9.056,9.542,10.089,10.48,10.837,9.781,9.536,10.129,9.793,9.528,10.129,740500
70000,8.515,4.105,-5.663,8.118,9.443,9.769,9.927,10.127,10.554,10.678,10.783,8.961,9.453,10.004,10.397,10.754,9.694,9.447,10.045,9.706,9.439,10.045,609000
75000,8.506,3.781,-5.904,8.027,9.356,9.686,9.844,10.046,10.473,10.599,10.703,8.87,9.367,9.921,10.315,10.673,9.609,9.36,9.963,9.621,9.353,9.963,514400
80000,8.496,3.478,-6.13,7.942,9.274,9.608,9.767,9.97,10.398,10.524,10.628,8.785,9.287,9.844,10.239,10.597,9.53,9.28,9.886,9.542,9.272,9.886,450400
85000,8.487,3.192,-6.342,7.861,9.197,9.534,9.694,9.897,10.326,10.453,10.556,8.704,9.21,9.77,10.166,10.525,9.455,9.203,9.813,9.467,9.196,9.813,409800
90000,8.478,2.921,-6.541,7.783,9.122,9.462,9.622,9.827,10.257,10.383,10.487,8.626,9.136,9.698,10.095,10.454,9.381,9.129,9.742,9.394,9.121,9.742,383600
