#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
2500,8.641,18.892,0.403,22.123,20.488,18.489,17.859,18.056,18.517,18.939,19.677,23.05,19.541,17.926,18.399,18.387,18.362,18.757,17.851,18.373,18.752,17.846,10560000000
2750,8.641,18.478,0.21,21.707,20.185,18.268,17.553,17.425,17.853,18.33,18.892,22.615,19.279,17.696,17.821,17.801,17.998,18.525,17.36,18.01,18.521,17.364,10450000000
3000,8.641,18.1,0.046,21.303,19.89,18.054,17.284,16.916,17.268,17.772,18.212,22.195,19.024,17.49,17.362,17.309,17.672,18.307,16.95,17.684,18.303,16.958,10330000000
3250,8.641,17.752,-0.107,20.9,19.612,17.858,17.054,16.514,16.712,17.218,17.563,21.781,18.788,17.307,17.007,16.898,17.393,18.109,16.614,17.405,18.105,16.623,10210000000
3500,8.641,17.43,-0.201,20.457,19.273,17.631,16.842,16.219,16.218,16.689,16.972,21.333,18.496,17.118,16.737,16.585,17.145,17.883,16.348,17.155,17.879,16.357,10080000000
3750,8.641,17.13,-0.276,20,18.942,17.406,16.646,15.994,15.765,16.157,16.385,20.871,18.213,16.928,16.523,16.342,16.927,17.656,16.132,16.935,17.653,16.139,9940000000
4000,8.641,16.849,-0.318,19.518,18.589,17.167,16.45,15.805,15.389,15.647,15.815,20.386,17.91,16.728,16.333,16.145,16.717,17.414,15.941,16.725,17.411,15.948,9769000000
4250,8.64,16.585,-0.332,18.996,18.213,16.918,16.25,15.629,15.103,15.183,15.28,19.859,17.591,16.518,16.151,15.972,16.506,17.157,15.76,16.514,17.153,15.766,9511000000
4500,8.64,16.337,-0.319,18.44,17.82,16.655,16.039,15.453,14.896,14.794,14.831,19.297,17.256,16.297,15.965,15.805,16.286,16.882,15.577,16.293,16.879,15.582,9246000000
4750,8.64,16.101,-0.282,17.873,17.418,16.383,15.819,15.272,14.734,14.505,14.483,18.723,16.912,16.064,15.772,15.636,16.055,16.594,15.387,16.062,16.591,15.393,8923000000
5000,8.64,15.877,-0.229,17.315,17.021,16.107,15.594,15.088,14.591,14.307,14.24,18.158,16.567,15.826,15.575,15.465,15.817,16.299,15.193,15.824,16.296,15.199,8536000000
